"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2006","AT",6,"2","2006","15",20330,14299,0,0,,,,,,0,0,0,0,0,2,,0,0,0,6031,"NA","2","NA","1","1","2","1","1","1","1","1","5","2500","3","NA","2","2","2","2","3","1","3","2","1","NA","NA","254.33","1","1","1",1,,,,,,
"2006","AT",10,"2","2006","22",16215,15835,0,0,,,,,,0,0,0,0,0,0,,0,0,0,381,"NA","2","NA","1","1","2","1","1","1","1","1","4","1200","2","NA","2","2","2","2","NA","1","6","2","1","340","450","289.36","1","1","1",1,,,,,,
"2006","AT",31,"2","2006","5",6243,5668,0,0,,,,,,0,0,0,0,0,1,,0,0,0,575,"2","2","NA","1","1","1","1","1","3","1","1","5","400","3","NA","2","2","2","2","4","2","3","2","1","150","NA","202.63","1","1","1",1,,,,,,
"2006","AT",55,"2","2006","7",8380,-14143,0,0,,,,,,0,0,0,0,0,0,,0,0,0,22523,"2","2","NA","1","1","1","1","1","1","1","1","1","2500","2","NA","2","2","2","2","4","2","4","2","1","NA","1200","517","1","1","1",1,,,,,,
"2006","AT",60,"3","2006","3",30706,24422,0,0,,,,,,0,0,0,0,0,5,,0,0,0,6284,"2","2","NA","1","1","1","1","1","1","1","1","3","1500","3","NA","1","2","2","2","3","1","3","2","1","NA","3000","198.47","1","1","1",1,,,,,,
"2006","AT",82,"2","2006","7",880,-2843,0,0,,,,,,0,0,0,0,0,22,,0,0,0,3723,"2","2","NA","1","2","1","1","1","3","1","3","3","2000","3","NA","2","2","2","2","1","4","2","2","1","NA","500","308.22","1","1","1",1,,,,,,
"2006","AT",108,"3","2006","6",20469,17346,0,0,,,,,,0,0,0,0,0,0,,0,0,1196,1926,"NA","2","NA","1","1","2","1","1","1","1","1","5","2500","2","NA","2","2","2","1","1","4","3","2","1","297","NA","220.6","1","1","1",1,,,,,,
"2006","AT",134,"2","2006","10",28235,27944,0,0,,,,,,0,0,0,0,0,117,,0,0,137,154,"2","2","NA","2","1","1","1","1","3","1","1","4","1500","2","NA","2","2","2","2","1","1","3","2","1","NA","450","NA","1","1","1",1,,,,,,
"2006","AT",141,"3","2006","5",30114,8952,0,0,,,,,,0,0,0,0,0,1829,,0,0,0,21162,"NA","2","NA","2","1","2","1","1","1","1","1","4","1500","3","NA","2","2","2","2","1","1","2","2","1","NA","800","169.27","1","1","1",1,,,,,,
"2006","AT",156,"2","2006","13",8458,5061,0,0,,,,,,0,0,0,0,0,25,,0,0,0,3397,"NA","2","NA","1","1","1","1","1","1","1","1","2","NA","2","NA","2","2","2","2","3","3","2","1","1","NA","360","531.64","1","1","1",1,,,,,,
"2006","AT",165,"2","2006","21",39579,16275,0,0,,,,,,0,0,0,0,0,419,,0,0,0,23304,"2","2","NA","2","1","1","1","1","1","1","1","3","1500","2","2","2","2","2","2","1","1","4","1","1","NA","2000","514.16","1","1","1",1,,,,,,
"2006","AT",167,"3","2006","5",3614,2441,0,0,,,,,,0,0,0,0,0,2,,0,0,0,1173,"NA","2","NA","2","2","1","1","1","3","1","1","4","740","3","NA","2","2","2","2","4","1","1","2","1","NA","NA","333.27","1","1","1",1,,,,,,
"2006","AT",189,"2","2006","6",752,21,0,0,,,,,,0,0,0,0,0,0,,0,0,344,387,"2","2","NA","2","1","2","1","1","3","1","1","5","800","2","NA","2","2","2","2","1","1","4","2","1","446","600","584.38","1","1","1",1,,,,,,
"2006","AT",191,"2","2006","7",11771,10152,0,0,,,,,,0,0,0,0,0,59,,0,0,0,1619,"NA","2","NA","1","1","1","1","1","1","1","2","4","1300","2","NA","2","2","2","2","1","1","2","2","2","NA","NA","348.4","1","1","1",1,,,,,,
"2006","AT",200,"2","2006","3",30517,18220,0,0,,,,,,0,0,0,0,0,0,,0,0,0,12298,"NA","2","NA","1","1","1","1","1","1","1","1","1","2000","1","NA","2","2","2","2","3","1","5","1","1","NA","NA","261.67","1","1","1",1,,,,,,
"2006","AT",211,"2","2006","7",10026,8638,0,0,,,,,,0,0,0,0,0,0,,0,0,352,1036,"2","2","NA","1","1","2","1","1","1","3","1","3","1800","2","NA","2","2","1","2","1","2","5","2","1","340","500","844.8","1","1","1",1,,,,,,
"2006","AT",227,"2","2006","14",13880,13747,0,0,,,,,,0,0,0,0,0,423,,0,0,0,133,"NA","2","NA","1","1","2","1","1","1","1","1","5","600","1","NA","2","2","2","2","4","1","2","2","1","NA","NA","222.38","1","1","1",1,,,,,,
"2006","AT",259,"3","2006","20",21137,20934,369,369,,,,,,369,0,0,0,0,2,,0,0,0,203,"NA","2","NA","1","1","1","1","1","3","1","1","4","4000","1","3","2","2","2","2","1","1","5","2","1","432","NA","356.8","1","1","1",1,,,,,,
"2006","AT",268,"2","2006","6",0,-521,0,0,,,,,,0,0,0,0,0,0,,0,0,0,521,"2","2","NA","1","1","2","1","1","1","1","1","4","1900","1","NA","2","2","2","2","4","4","5","2","1","NA","NA","379.48","1","1","1",1,,,,,,
"2006","AT",269,"2","2006","6",24532,5297,0,0,,,,,,0,0,0,0,0,2,,0,0,0,19235,"2","2","NA","1","1","2","1","1","1","1","1","3","4000","3","NA","1","2","2","2","4","2","4","1","1","250","230","322.18","1","1","1",1,,,,,,
"2006","AT",276,"2","2006","10",14785,11271,0,0,,,,,,0,0,0,0,0,0,,0,0,0,3514,"2","2","NA","2","1","2","1","1","3","1","1","4","2000","2","NA","2","2","1","2","2","1","6","2","1","NA","700","433.2","1","1","1",1,,,,,,
"2006","AT",293,"3","2006","5",13993,6879,0,0,,,,,,0,0,0,0,0,40,,0,0,0,7114,"2","2","NA","1","1","1","1","1","3","1","3","5","2000","2","NA","2","2","2","2","1","2","3","2","1","NA","700","205.17","1","1","1",1,,,,,,
"2006","AT",301,"2","2006","18",15055,13965,0,0,,,,,,0,0,0,0,0,0,,0,0,0,1090,"NA","2","NA","2","1","1","1","1","1","1","1","3","1400","2","1","2","2","2","2","4","2","4","2","1","NA","NA","702.76","1","1","1",1,,,,,,
"2006","AT",311,"2","2006","11",13590,2488,0,0,,,,,,0,0,0,0,0,0,,0,0,5225,5877,"2","2","NA","1","1","2","1","1","3","1","1","4","3000","3","NA","2","2","1","2","1","2","1","2","1","NA","NA","410.67","1","1","1",1,,,,,,
"2006","AT",336,"2","2006","7",16507,16172,0,0,,,,,,0,0,0,0,0,3,,0,0,0,334,"NA","2","NA","1","1","1","1","1","3","1","1","5","1250","1","NA","2","1","2","2","4","1","2","2","1","NA","600","142.4","1","1","1",1,,,,,,
"2006","AT",337,"2","2006","4",11624,10649,0,0,,,,,,0,0,0,0,0,2,,0,0,0,975,"NA","2","2","1","1","1","1","1","3","1","3","2","1000","2","NA","1","2","1","2","1","1","2","2","1","260","1000","283.74","1","1","1",1,,,,,,
"2006","AT",373,"2","2006","5",13507,11665,0,0,,,,,,0,0,0,0,0,2,,0,0,0,1842,"NA","2","NA","2","1","1","1","1","1","1","1","1","700","2","NA","2","2","2","1","4","1","2","2","1","NA","NA","602.44","1","1","1",1,,,,,,
"2006","AT",381,"2","2006","5",12809,11893,0,0,,,,,,0,0,0,0,0,53,,0,0,431,485,"2","2","NA","1","1","1","1","1","3","1","1","6","1200","1","NA","2","2","2","2","4","1","6","2","1","NA","NA","428.91","1","1","1",1,,,,,,
"2006","AT",383,"2","2006","10",9605,9487,0,0,,,,,,0,0,0,0,0,1,,0,0,0,118,"NA","2","NA","1","2","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","4","1","3","2","1","NA","350","321.1","1","1","1",1,,,,,,
"2006","AT",392,"3","2006","8",14299,12856,0,0,,,,,,0,0,0,0,0,0,,0,0,0,1444,"2","2","NA","2","2","1","1","1","1","1","1","5","500","3","NA","2","1","2","2","4","2","5","2","1","NA","NA","356.23","1","1","1",1,,,,,,
"2006","AT",414,"3","2006","14",9486,8971,0,0,,,,,,0,0,0,0,0,0,,0,0,0,515,"NA","2","NA","1","1","1","1","1","1","1","1","3","NA","3","NA","2","2","2","2","3","1","6","2","1","NA","1500","862.33","1","1","1",1,,,,,,
"2006","AT",428,"3","2006","4",12583,11370,0,0,,,,,,0,0,0,0,0,0,,0,0,329,884,"2","2","NA","1","1","1","1","1","3","1","1","4","NA","3","NA","2","2","2","2","4","2","5","2","1","NA","NA","214.14","1","1","1",1,,,,,,
"2006","AT",436,"3","2006","11",39028,30516,0,0,,,,,,0,0,0,0,0,71,,0,0,0,8513,"NA","2","NA","1","1","1","1","1","1","1","1","3","1000","2","2","2","1","1","2","4","1","2","2","1","150","700","290.1","1","1","1",1,,,,,,
"2006","AT",451,"3","2006","10",8242,8133,0,0,,,,,,0,0,0,0,0,0,,0,0,0,109,"NA","2","NA","1","1","1","1","1","1","1","2","4","1550","2","NA","2","2","2","2","2","1","3","2","1","270","700","373.87","1","1","1",1,,,,,,
"2006","AT",452,"3","2006","10",15871,15255,0,0,,,,,,0,0,0,0,0,0,,0,0,0,616,"NA","2","NA","2","1","1","1","1","1","1","1","6","1500","2","NA","2","1","2","2","4","2","2","2","1","NA","NA","NA","1","1","1",1,,,,,,
"2006","AT",461,"2","2006","7",39760,27379,0,0,,,,,,0,0,0,0,0,5,,0,0,0,12381,"2","2","2","1","1","1","1","1","1","1","1","6","2000","2","NA","2","1","2","2","1","1","5","2","1","NA","350","460.48","1","1","1",1,,,,,,
"2006","AT",476,"2","2006","7",9324,8421,0,0,,,,,,0,0,0,0,0,0,,0,0,0,903,"NA","2","2","1","1","1","1","1","1","1","1","4","2000","2","NA","2","2","2","1","4","2","1","2","1","NA","NA","381.6","1","1","1",1,,,,,,
"2006","AT",480,"2","2006","11",16411,16239,0,0,,,,,,0,0,0,0,0,1,,0,0,0,172,"2","2","NA","1","1","2","1","1","3","3","1","3","670","3","2","2","2","2","1","1","1","3","2","1","NA","NA","503.04","1","1","1",1,,,,,,
"2006","AT",491,"2","2006","4",3935,3919,0,0,,,,,,0,0,0,0,0,39,,0,0,0,15,"2","2","NA","1","1","1","1","1","1","1","1","4","1300","1","NA","2","1","2","1","3","3","2","2","1","NA","400","311.48","1","1","1",1,,,,,,
