"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","MH010","MH020","MH030","MH040","MH050","MH060","MH070","MH080","MH090","MH100","MH110","MH120","MH130","MH140","MH150","MH160","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010","HY081N","HY131N","HY081G","HY131G"
"2007","AT",6,"3","2007","10",5633,2711,0,0,,,,,,0,0,0,0,0,0,,0,0,730,2192,"2","2","NA","1","1","1","1","1","1","1","1","3","2000","2","NA","2","1","2","1","1","2","5","2","1","NA","800","312.85","1","1","2","1","1","1","1","2","1","4","3","3","3","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","AT",10,"3","2007","18",3488,1648,0,0,,,,,,0,0,0,0,0,26,,0,0,0,1840,"NA","2","NA","2","1","2","1","1","1","1","1","5","1700","1","NA","2","2","2","2","2","2","6","2","1","710","NA","873","1","1","2","1","1","1","1","2","2","4","3","3","3","3","2","NA","2","1","1",1,,,,,,,,,,
"2007","AT",31,"3","2007","5",13844,13498,0,0,,,,,,0,0,0,0,0,0,,0,0,115,231,"NA","2","NA","1","1","2","1","1","1","1","1","6","800","2","NA","2","2","2","2","2","1","4","2","1","330","2500","517","1","1","2","1","1","1","1","2","1","4","3","4","2","4","4","2","2","NA","1",1,,,,,,,,,,
"2007","AT",55,"3","2007","21",6498,6326,0,0,,,,,,0,0,0,0,0,46,,0,0,0,172,"2","2","NA","2","1","1","1","1","3","1","1","4","3800","3","NA","2","2","2","2","1","2","3","2","1","NA","700","331.23","1","1","1","1","1","1","1","2","2","4","2","3","3","2","4","NA","1","NA","1",1,,,,,,,,,,
"2007","AT",60,"3","2007","12",16624,16000,0,0,,,,,,0,0,0,0,0,97,,0,0,0,624,"2","2","NA","1","1","1","1","1","1","1","1","4","1500","2","NA","2","1","2","2","1","1","3","2","2","214","500","255.5","1","1","2","1","1","3","1","2","1","3","4","4","4","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","AT",83,"2","2007","7",13202,-39810,0,0,,,,,,0,0,0,0,0,0,,0,0,0,53012,"2","2","NA","1","1","2","1","3","1","1","2","3","1200","2","NA","2","2","2","2","1","2","3","2","1","320","NA","451.28","1","1","2","1","1","2","1","2","1","4","2","4","3","4","3","NA","1","NA","1",1,,,,,,,,,,
"2007","AT",109,"3","2007","9",5477,4918,0,0,,,,,,0,0,0,0,0,0,,0,0,0,559,"2","2","NA","1","1","2","1","1","1","1","1","1","1040","2","NA","2","2","1","2","1","3","3","2","1","10","220","361.24","1","1","2","1","1","1","1","2","2","3","3","3","3","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","AT",135,"3","2007","16",20402,9202,0,0,,,,,,0,0,0,0,0,24,,0,0,0,11200,"NA","2","NA","1","1","2","1","1","1","1","1","3","700","2","NA","2","2","2","2","2","1","2","2","1","NA","300","266.5","1","1","2","1","1","1","1","2","1","3","4","4","2","4","1","NA","1","NA","1",1,,,,,,,,,,
"2007","AT",142,"2","2007","9",10492,10213,0,0,,,,,,0,0,0,0,0,0,,0,0,0,279,"NA","2","NA","2","1","2","1","1","3","3","1","3","1500","2","NA","2","2","2","2","3","3","5","2","1","680","1500","266.5","1","1","2","1","1","1","1","2","1","3","4","4","3","2","3","NA","2","NA","1",1,,,,,,,,,,
"2007","AT",157,"2","2007","15",11689,10864,0,0,,,,,,0,0,0,0,0,0,,0,0,0,824,"2","2","NA","1","1","2","2","1","1","1","2","3","1200","2","NA","2","1","2","2","1","2","2","2","1","NA","NA","384.48","1","1","2","1","1","1","1","2","1","4","4","1","2","4","1","NA","2","NA","1",1,,,,,,,,,,
