"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2007","AT",61,446.356275303644,"4",1938,"2","1","1","4","11","3","NA","NA","NA","0","NA","NA",6,68,69
"2007","AT",101,446.356275303644,"4",1926,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",10,80,80
"2007","AT",311,446.356275303644,"2",1936,"2","1","4","1","11","NA","NA","NA","NA","NA","0","NA",31,70,71
"2007","AT",551,446.356275303644,"3",1926,"2","1","4","1","NA","2","NA","NA","NA","NA","NA","NA",55,80,80
"2007","AT",601,446.356275303644,"1",1926,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",60,80,80
"2007","AT",831,446.356275303644,"1",1926,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",83,80,80
"2007","AT",1091,446.356275303644,"2",1929,"2","1","3","1","11","2","NA","NA","0","NA","NA","0",109,77,77
"2007","AT",1351,446.356275303644,"4",1943,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",135,63,64
"2007","AT",1421,446.356275303644,"1",1926,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",142,80,80
"2007","AT",1571,446.356275303644,"2",1930,"2","1","4","4","11","NA","NA","NA","NA","NA","NA","NA",157,76,77
"2007","AT",1661,446.356275303644,"1",1927,"1","1","4","1","11","2","NA","NA","0","NA","NA","NA",166,79,79
"2007","AT",1681,446.356275303644,"2",1926,"2","1","2","4","11","5","NA","NA","NA","NA","NA","NA",168,80,80
"2007","AT",1911,446.356275303644,"2",1926,"2","1","4","1","11","2","NA","NA","NA","0","NA","NA",191,80,80
"2007","AT",1921,446.356275303644,"1",1941,"1","1","1","1","NA","2","20","NA","NA","0","NA","NA",192,65,65
"2007","AT",2011,446.356275303644,"2",1926,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",201,80,80
"2007","AT",2121,446.356275303644,"1",1926,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",212,80,80
"2007","AT",2281,446.356275303644,"1",1952,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",228,54,55
"2007","AT",2601,446.356275303644,"4",1959,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",260,47,48
"2007","AT",2691,446.356275303644,"3",1941,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",269,65,65
"2007","AT",2701,446.356275303644,"3",1941,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",270,65,65
"2007","AT",2711,446.356275303644,"1",1955,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",271,51,51
"2007","AT",2781,446.356275303644,"3",1949,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",278,57,57
"2007","AT",2951,446.356275303644,"2",1979,"2","1","4","1","NA","5","NA","29","NA","NA","NA","NA",295,27,28
"2007","AT",3031,446.356275303644,"2",1926,"2","1","1","4","NA","2","NA","NA","NA","0","NA","0",303,80,80
"2007","AT",3131,446.356275303644,"3",1926,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",313,80,80
"2007","AT",3261,446.356275303644,"3",1955,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",326,51,51
"2007","AT",3381,446.356275303644,"3",1956,"2","1","4","4","11","5","NA","28","NA","NA","NA","NA",338,50,50
"2007","AT",3391,446.356275303644,"4",1940,"1","1","4","1","11","5","NA","28","NA","NA","NA","NA",339,66,67
"2007","AT",3411,446.356275303644,"4",1978,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",341,28,28
"2007","AT",3761,446.356275303644,"4",1940,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",376,66,66
"2007","AT",3821,446.356275303644,"2",1954,"2","1","4","1","NA","NA","NA","NA","NA","NA","NA","2",382,52,53
"2007","AT",3831,446.356275303644,"2",1949,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",383,57,57
"2007","AT",3851,446.356275303644,"2",1934,"1","1","3","1","NA","2","NA","NA","13","NA","NA","NA",385,72,73
"2007","AT",3881,446.356275303644,"1",1940,"2","1","1","1","11","2","NA","30","9","NA","NA","NA",388,66,66
"2007","AT",3941,446.356275303644,"2",1939,"2","1","4","1","11","3","NA","NA","NA","NA","NA","NA",394,67,68
"2007","AT",3951,446.356275303644,"4",1926,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",395,80,80
"2007","AT",4161,446.356275303644,"1",1956,"2","1","1","1","NA","2","NA","25","NA","NA","NA","NA",416,50,50
"2007","AT",4171,446.356275303644,"4",1926,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",417,80,80
"2007","AT",4301,446.356275303644,"4",1955,"1","1","4","1","11","2","NA","NA","NA","NA","0","0",430,51,52
"2007","AT",4391,446.356275303644,"1",1926,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",439,80,80
"2007","AT",4531,446.356275303644,"1",1926,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","0",453,80,80
"2007","AT",4551,446.356275303644,"2",1973,"1","1","3","1","11","2","35","NA","NA","NA","0","NA",455,33,34
"2007","AT",4641,446.356275303644,"1",1941,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",464,65,65
"2007","AT",4791,446.356275303644,"2",1961,"1","1","4","1","11","5","NA","NA","NA","NA","NA","NA",479,45,46
"2007","AT",4831,446.356275303644,"3",1929,"2","1","1","1","11","5","NA","NA","0","NA","NA","NA",483,77,77
"2007","AT",4941,446.356275303644,"4",1941,"2","1","4","1","11","NA","NA","NA","NA","NA","0","NA",494,65,66
"2007","AT",5161,446.356275303644,"3",1940,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",516,66,66
"2007","AT",5171,446.356275303644,"3",1926,"2","1","3","4","11","2","NA","NA","NA","NA","NA","NA",517,80,80
"2007","AT",5421,446.356275303644,"2",1961,"1","1","2","1","11","2","30","NA","NA","NA","NA","NA",542,45,46
"2007","AT",5431,446.356275303644,"2",1933,"1","1","1","1","NA","2","NA","25","NA","NA","NA","0",543,73,73
"2007","AT",5432,446.356275303644,"1",1938,"2","1","1","1","11","5","NA","NA","NA","NA","NA","NA",543,68,68
"2007","AT",5541,446.356275303644,"1",1942,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",554,64,64
"2007","AT",5542,446.356275303644,"1",1938,"1","1","4","1","11","2","NA","NA","0","NA","NA","0",554,68,69
"2007","AT",5591,446.356275303644,"4",1926,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",559,80,80
"2007","AT",5592,446.356275303644,"3",1926,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",559,80,80
"2007","AT",5661,446.356275303644,"2",1949,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",566,57,57
"2007","AT",5662,446.356275303644,"4",1944,"1","1","1","1","NA","2","NA","NA","NA","NA","0","NA",566,62,63
"2007","AT",5671,446.356275303644,"4",1926,"2","1","4","1","11","NA","NA","NA","0","NA","NA","NA",567,80,80
"2007","AT",5672,446.356275303644,"1",1957,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",567,49,50
"2007","AT",5691,446.356275303644,"3",1940,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",569,66,66
"2007","AT",5692,446.356275303644,"2",1939,"1","1","1","1","11","NA","NA","NA","0","NA","NA","NA",569,67,68
"2007","AT",5721,446.356275303644,"2",1943,"1","1","3","1","11","2","NA","30","NA","NA","NA","NA",572,63,63
"2007","AT",5722,446.356275303644,"1",1951,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",572,55,55
"2007","AT",5861,446.356275303644,"4",1929,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",586,77,77
