"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","MI010","MI020","MI025","MI026","MI030","MI040","MI045","MI046","MI050","MI051","MI052","MI053","MI054","MI055","MI056","MI057","MI058","MI060","MI065","MI066","MI075","MI076","MI085","MI086","MI090","MI095","MI100","MI110","MI111","MI112","MI113","MI114","MI120","MI121","MI122","MI123","MI124","MI125","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2008","AT",6,"3","2008","15",23618,15460,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8157,"NA","3","NA","3","NA","3","2","1","1","1","1","2","1","1","4","5000","3","2","2","2","2","2","1","2","6","2","1","NA","600","242.9","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",10,"2","2008","15",26458,18734,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7723,"NA","3","NA","3","NA","NA","2","1","1","1","1","1","1","1","4","1300","2","NA","2","2","1","2","1","2","6","2","1","NA","700","448.75","1","NA","1","NA","1","1","3","NA","1","2","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",32,"2","2008","15",14276,10303,0,0,,,,,,,,0,0,87,0,0,,150,,0,0,0,,3973,"NA","2","NA","3","NA","NA","1","2","1","1","1","3","1","1","2","1900","2","NA","2","1","2","2","3","2","6","2","1","NA","650","727.4","1","NA","1","NA","1","1","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","2","2","NA","NA","NA","NA","NA","NA","2","5","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",55,"3","2008","10",25881,13907,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,2380,,9594,"NA","3","NA","3","NA","NA","1","1","2","1","1","1","1","1","6","2000","3","NA","2","2","2","2","4","1","5","2","1","NA","1000","623.8","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","1","2","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1",1,,,,,,
"2008","AT",60,"3","2008","10",45659,18232,0,0,,,,,,,,0,0,0,0,0,,765,,0,0,0,,27427,"NA","NA","NA","3","NA","NA","1","1","2","1","3","1","1","1","2","2000","2","NA","2","1","2","2","1","1","6","2","1","NA","1500","364.88","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",61,"2","2008","9",15360,14066,0,0,,,,,,,,0,0,0,0,0,,306,,0,0,0,,1294,"NA","1","NA","3","NA","3","1","1","1","1","1","1","1","2","1","3000","2","NA","2","2","2","2","1","3","5","2","1","NA","500","183.28","1","NA","1","NA","1","1","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",83,"2","2008","15",10510,9784,0,0,,,,,,,,0,0,0,0,0,,113,,0,0,0,,726,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1000","2","NA","2","2","2","2","4","2","2","2","1","NA","800","483.17","1","NA","1","NA","1","2","3","9000","2","2","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",109,"2","2008","25",32867,31162,0,0,,,,,,,,0,0,0,0,0,,52,,0,0,0,,1705,"NA","3","NA","3","NA","NA","2","1","2","1","1","3","1","1","3","1000","2","NA","2","2","2","2","4","3","6","2","1","540","400","551.87","1","NA","1","NA","1","1","NA","NA","2","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",136,"2","2008","8",9461,9169,0,0,,,,,,,,0,0,0,0,0,,596,,0,0,0,,292,"NA","3","NA","3","NA","NA","1","1","1","1","1","3","1","1","2","1300","2","2","2","2","2","2","1","2","6","2","1","NA","1800","180.52","1","NA","1","NA","1","2","NA","800","2","NA","NA","NA","2","NA","NA","NA","2","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","AT",144,"3","2008","13",9435,9123,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,312,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","3200","3","NA","2","2","2","2","4","3","5","2","1","384.64","250","560.12","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","2","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
