"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PY021G","PY030G","PX020","PX050","PX010","PL110","PL111"
"2008","AT",61,541.707317073171,"NA","2","2008","15","4",1945,"2","2","1","AT","2","NA","3","5","1","NA","2","NA","3","4","40","12","0","NA","NA","NA","1","1","2","1","NA","15","6","1","1","1","1","1","1","1","1","1","1","1","1","2","3","2","NA","2","NA",0,0,0,0,0,1,1800,0,0,0,0,23618,0,0,0,0,758,6,"1",0,0,62,"6","1","","NA"
"2008","AT",101,541.707317073171,"NA","3","2008","16","1",1951,"2","2","3","AT","2","NA","3","1","2","NA","NA","NA","3","5","41","0","0","NA","NA","12","NA","2","2","NA","NA","14","1","2","1","1","1","1","1","1","1","1","6","3","4","2","3","2","NA","2","NA",0,0,0,26458,0,1,0,0,0,0,0,0,0,0,0,0,758,10,"1",0,1547,56,"1","1","f","q"
"2008","AT",321,541.707317073171,"NA","2","2008","15","4",1927,"2","4","1","AT","2","NA","2","5","1","NA","NA","NA","3","5","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","15","6","2","6","6","1","6","1","6","3","6","6","3","4","1","3","2","NA","2","NA",684,0,0,0,0,1,0,0,0,0,0,14039,0,0,0,0,375,32,"1",0,0,80,"1","1","","NA"
"2008","AT",551,541.707317073171,"NA","2","2008","12","4",1959,"1","2","1","AT","2","NA","5","1","1","1","NA","NA","3","3","41","0","0","NA","NA","11","1","2","2","NA","NA","15","1","1","6","1","6","6","1","1","3","1","1","1","2","2","2","2","NA","1","NA",0,0,0,22947,0,1,600,0,0,0,2934,0,0,0,0,0,109,55,"1",0,20384,48,"1","1","c+d+e","f"
"2008","AT",601,541.707317073171,"NA","2","2008","6","4",1961,"1","2","1","AT","2","NA","3","1","1","NA","2","NA","3","0 - 1","40","0","0","NA","NA","NA","1","1","2","NA","NA","26","1","1","1","1","3","1","1","6","1","1","1","1","2","1","3","2","NA","2","NA",0,0,500,42307,0,1,0,0,700,0,0,0,0,2587,0,0,758,60,"1",0,0,46,"1","1","c+d+e","l-n"
"2008","AT",611,541.707317073171,"NA","3","2008","15","2",1927,"2","4","1","AT","2","NA","1","5","1","NA","2","NA","3",,"NA","12","0","NA","NA","NA","NA","2","2","NA","NA","16","3","5","3","1","6","1","1","6","3","6","6","2","2","2","2","2","NA","1","NA",0,0,0,0,0,1,0,0,0,0,0,15054,0,0,0,0,758,61,"1",0,0,80,"6","1","","o"
"2008","AT",831,541.707317073171,"NA","3","2008","21","1",1927,"2","1","1","AT","1","NA","2","5","2","NA","2","NA","3","4","35","0","0","NA","NA","6","1","NA","NA","NA","10","21","1","6","8","1","6","5","6","8","1","6","3","1","2","2","3","2","NA","2","NA",0,0,0,0,0,1,2500,0,0,0,0,0,0,0,10396,0,758,83,"1",0,1332,80,"1","1","g","NA"
"2008","AT",1091,541.707317073171,"NA","2","2008","5","3",1941,"1","5","3","AT","2","NA","2","5","2","NA","NA","NA","3","9","42","12","0","NA","NA","NA","1","2","NA","NA","NA","15","1","6","1","1","1","1","6","1","1","1","6","1","1","2","3","2","NA","2","NA",1200,580,0,0,0,1,420,0,0,0,0,32814,0,0,0,0,758,109,"1",0,243,66,"7","1","","NA"
"2008","AT",1361,541.707317073171,"NA","3","2008","17","3",1927,"2","4","1","AT","2","NA","2","5","2","NA","2","NA","3","9","NA","12","5","NA","NA","NA","1","NA","NA","NA","NA","18","2","5","1","8","7","7","4","2","7","6","7","6","2","2","1","1","NA","2","NA",0,0,0,0,0,1,0,0,0,0,0,8865,0,0,0,0,206,136,"1",0,0,80,"7","1","g","NA"
"2008","AT",1441,541.707317073171,"NA","2","2008","35","4",1932,"2","4","3","AT","2","NA","2","5","2","1","2","NA","3","9","20","0","0","NA","NA","NA","1","2","NA","NA","10","19","1","6","5","6","6","6","8","6","5","5","6","8","3","2","3","2","NA","2","NA",0,0,0,0,0,1,0,0,0,0,0,9435,0,0,0,0,758,144,"1",0,0,75,"1","1","h","NA"
