"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","AT",6,"2","2009","17",2267,2239,0,0,,,,,,,,0,0,0,0,0,,19,,0,0,0,,28,"NA","3","NA","3","NA","NA","1","1","1","2","1","1","1","1","3","1700","3","NA","2","2","2","2","4","2","5","2","1","NA","NA","713.12","1","NA","1","NA","1","2","7","2","110","4","3","4","3","1","2","NA","NA","NA","1","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",11,"2","2009","12",33679,20131,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,13548,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","2500","3","NA","2","2","1","2","3","1","6","2","1","680","800","510.4","1","NA","1","NA","1","2","NA","2","180","2","4","4","2","1","1","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",32,"2","2009","14",46878,35346,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,11531,"NA","3","NA","3","NA","3","1","1","1","1","1","3","1","1","5","2500","3","NA","2","2","1","2","1","1","4","2","1","NA","NA","229.33","1","NA","1","NA","1","2","NA","2","100","4","4","4","3","1","1","NA","NA","1","NA","NA","1","1","NA","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",56,"3","2009","28",308,-220,0,0,,,,,,,,0,71,71,0,0,,167,,0,0,0,,528,"NA","NA","NA","3","NA","NA","2","2","2","1","1","1","1","1","3","2300","3","NA","2","2","2","2","3","1","2","2","1","232","600","168.6","1","NA","1","NA","1","2","NA","1","80","4","4","1","4","1","3","NA","NA","NA","NA","1","NA","1","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",61,"3","2009","26",1513,938,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,575,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","1500","2","NA","2","2","2","2","3","2","4","1","1","NA","1000","392.4","1","NA","1","NA","1","2","NA","2","25","3","4","4","4","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",84,"3","2009","18",19974,19691,0,0,,,,,,,,0,56,56,0,0,,133,,0,0,0,,283,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","5","2000","3","NA","1","2","2","2","1","2","6","2","1","NA","600","253.84","1","NA","1","NA","1","2","NA","1","80","1","4","4","4","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",110,"3","2009","15",16554,13400,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3155,"NA","NA","NA","3","NA","NA","1","1","2","1","1","3","1","1","4","NA","2","1","2","2","1","2","2","1","4","2","1","NA","800","NA","1","NA","1","NA","1","2","NA","1","56","4","4","2","3","1","3","NA","NA","1","NA","1","1","NA","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",138,"2","2009","16",15332,14879,0,0,,,,,,,,0,0,0,0,0,,52,,0,0,0,,453,"NA","3","NA","3","NA","NA","1","1","2","1","1","1","1","2","3","NA","3","NA","2","2","2","2","1","2","3","2","1","231.2","500","362.7","1","NA","1","NA","1","2","NA","2","120","2","4","NA","2","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",145,"2","2009","15",14099,-1027,148,148,,,,,,,,148,0,0,0,0,,46,,0,0,0,,15126,"NA","3","NA","3","NA","NA","2","2","2","1","3","3","1","1","5","1200","2","3","2","2","2","2","4","1","5","2","1","600","250","533.64","1","NA","1","NA","1","2","NA","2","100","4","4","NA","4","1","3","NA","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",160,"2","2009","20",19541,18576,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,965,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1300","3","NA","1","1","2","2","NA","1","6","2","1","NA","600","852.06","1","NA","1","NA","1","2","NA","1","120","4","4","4","3","3","1","NA","NA","NA","NA","NA","NA","NA","1","1","NA","1","NA","NA","2","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",169,"2","2009","15",158,-188,0,0,,,,,,,,0,0,0,0,0,,158,,0,0,0,,346,"NA","NA","NA","3","NA","NA","1","1","2","1","1","3","1","1","3","1400","2","3","2","2","2","2","1","1","2","1","1","606","200","321.95","1","NA","1","NA","1","2","NA","1","115","1","4","2","4","2","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",171,"3","2009","15",6329,4966,0,0,,,,,,,,0,0,0,0,0,,11,,0,0,0,,1363,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","1000","2","NA","2","1","2","1","1","1","3","2","1","NA","NA","417.53","1","NA","1","NA","1","2","NA","2","148","4","4","3","4","1","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",194,"3","2009","15",1594,-37557,0,0,,,,,,,,0,0,0,0,0,,598,,0,0,0,,39151,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","5","800","3","NA","2","1","1","1","1","1","2","2","1","NA","600","215.25","1","NA","1","NA","1","2","NA","2","92","4","4","3","2","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",196,"2","2009","12",115753,97268,0,0,,,,,,,,0,0,0,0,0,,109,,0,0,0,,18485,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","2500","3","NA","2","2","2","2","1","1","4","2","1","NA","1500","353.2","1","NA","1","NA","1","2","NA","2","140","4","4","4","3","1","3","1","NA","NA","NA","NA","NA","NA","1","1","NA","1","NA","1","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",205,"3","2009","13",21312,18301,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3011,"NA","NA","NA","3","NA","NA","2","1","1","1","1","3","1","1","4","1500","2","NA","2","2","2","2","4","2","5","2","1","615","NA","361.41","1","NA","1","NA","1","2","NA","2","70","3","4","NA","2","1","1","NA","NA","1","1","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",216,"2","2009","15",25378,22130,0,0,,,,,,,,0,0,0,0,0,,75,,0,0,0,,3248,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","1","3","1200","2","1","2","2","2","2","4","1","2","1","1","157","700","460.37","1","NA","1","NA","1","2","NA","2","87","4","4","3","4","2","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",232,"3","2009","17",11626,9526,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2101,"NA","3","NA","3","NA","NA","1","1","2","1","1","1","1","1","3","3500","2","2","2","2","2","2","1","3","5","2","1","NA","700","212.08","1","NA","1","NA","1","2","7","2","56","2","3","4","3","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",265,"2","2009","15",48032,17401,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,30632,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","5","2500","2","1","2","2","2","1","1","3","6","2","1","1100","800","433.67","1","NA","1","NA","1","2","NA","2","90","4","4","4","4","1","1","NA","NA","NA","NA","1","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",274,"2","2009","9",47173,31118,0,0,,,,,,,,0,0,0,0,0,,109,,0,0,0,,16055,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","1","5","600","3","NA","2","2","1","2","1","1","4","2","1","NA","2500","229.33","1","NA","1","NA","1","2","NA","2","178","4","4","2","4","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",276,"2","2009","20",3235,449,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2786,"NA","3","NA","3","NA","NA","1","1","2","1","1","1","1","1","3","1400","2","2","2","1","2","2","1","2","2","2","1","255","NA","NA","1","NA","1","NA","1","2","NA","2","135","4","2","2","3","1","3","NA","1","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",283,"3","2009","8",22365,21380,0,0,,,,,,,,0,0,0,0,0,,746,,0,0,0,,984,"NA","3","NA","3","NA","NA","1","1","2","1","1","1","1","1","4","1200","1","NA","2","2","2","2","1","2","2","2","1","NA","550","234.33","1","NA","1","NA","1","2","6","2","100","4","2","3","1","2","3","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",300,"4","2009","14",12194,11996,0,0,,,,,,,,0,0,0,0,0,,130,,0,0,0,,198,"NA","3","NA","3","NA","NA","1","1","1","1","3","2","1","1","5","1500","3","NA","2","2","1","2","4","2","4","2","1","NA","600","415.34","1","NA","1","NA","1","2","NA","1","85","2","4","4","3","3","1","NA","NA","NA","1","1","NA","NA","1","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",307,"2","2009","21",3941,3888,0,0,,,,,,,,0,0,0,0,0,,2,,0,0,0,,52,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","3","1200","3","NA","2","2","2","2","4","2","5","2","1","NA","400","451","1","NA","1","NA","1","2","NA","2","32","2","3","4","3","1","3","NA","NA","NA","1","NA","NA","NA","NA","1","1","NA","1","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",319,"3","2009","14",11738,410,0,0,,,,,,,,0,0,0,0,0,,358,,0,0,3337,,7991,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","NA","1","NA","2","2","2","1","4","1","6","1","1","NA","3200","NA","1","NA","1","NA","1","2","NA","2","200","2","4","4","4","1","1","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",343,"2","2009","20",18656,17248,0,0,,,,,,,,0,0,0,0,0,,21,,0,0,0,,1408,"NA","3","NA","3","NA","3","1","1","1","1","1","3","1","1","4","2500","1","NA","1","2","2","2","1","2","6","2","1","370","1000","217","1","NA","1","NA","1","2","NA","1","70","3","4","4","2","1","2","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",344,"2","2009","12",39635,24111,0,0,,,,,,,,0,0,0,0,0,,307,,0,0,4556,,10968,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","4","4000","2","3","2","2","2","2","1","2","6","1","1","650","700","389.4","1","NA","1","NA","1","2","NA","2","150","1","2","2","3","3","1","1","NA","NA","1","NA","1","NA","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",382,"3","2009","11",42772,30290,0,0,,,,,,,,0,0,0,0,0,,524,,0,0,0,,12482,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","2500","2","NA","2","2","2","2","1","1","6","2","1","NA","2000","530.18","1","NA","1","NA","1","2","NA","2","150","4","4","4","4","1","3","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",390,"2","2009","13",496,-14037,0,0,,,,,,,,0,0,0,0,0,,280,,0,0,0,,14533,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","2000","3","NA","2","1","2","2","4","2","5","2","1","NA","500","787.8","1","NA","1","NA","1","2","NA","2","100","4","2","4","3","1","2","NA","NA","1","NA","NA","NA","1","1","1","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",392,"3","2009","20",46061,42487,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3574,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","NA","3","NA","2","2","1","2","1","2","3","2","1","NA","2000","487.8","1","NA","1","NA","1","2","NA","2","60","4","4","4","3","1","1","1","1","NA","NA","NA","1","1","1","NA","1","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",401,"3","2009","15",3734,3619,0,0,,,,,,,,0,0,0,0,0,,8,,0,0,0,,116,"NA","3","NA","3","NA","NA","1","2","1","1","1","1","1","2","1","1000","1","NA","2","2","2","2","4","2","3","2","1","NA","NA","153.87","1","NA","1","NA","1","2","NA","2","150","2","4","2","2","2","2","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",402,"2","2009","13",12662,11807,0,0,,,,,,,,0,0,0,0,0,,41,,0,0,0,,856,"NA","3","NA","3","NA","NA","1","1","1","1","1","3","1","3","4","900","3","NA","2","2","1","2","1","1","4","2","1","NA","1000","514.53","1","NA","1","NA","1","2","NA","2","74","4","3","4","2","1","3","NA","NA","1","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",423,"2","2009","10",14503,14141,0,0,,,,,,,,0,0,0,0,0,,1240,,0,0,0,,362,"NA","3","NA","3","NA","3","1","1","2","1","1","1","1","1","2","1500","3","NA","2","2","2","2","1","1","6","2","1","NA","800","663.96","1","NA","1","NA","1","2","NA","2","200","3","3","4","4","1","3","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",424,"2","2009","23",13493,13189,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,304,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","5","3600","2","NA","2","2","2","2","4","2","6","2","1","NA","NA","702","1","NA","1","NA","1","2","NA","2","120","1","4","3","2","3","1","NA","NA","NA","NA","1","NA","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",438,"3","2009","11",119735,86511,0,0,,,,,,,,0,0,0,0,0,,426,,0,0,0,,33224,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","1500","3","NA","2","2","2","2","2","3","4","2","1","580","500","615","1","NA","1","NA","1","2","NA","1","90","4","4","3","4","1","1","NA","NA","NA","1","NA","1","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",446,"2","2009","15",4993,4585,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,408,"NA","3","NA","3","NA","NA","1","1","2","1","1","3","1","1","5","2300","3","NA","2","2","2","2","1","2","2","2","1","372","NA","427.2","1","NA","1","NA","1","2","NA","2","200","4","4","3","2","1","1","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",461,"2","2009","14",32639,18248,0,0,,,,,,,,0,0,0,0,0,,98,,0,0,4031,,10360,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","600","3","NA","2","2","2","2","1","1","6","2","1","NA","1200","229.33","1","NA","1","NA","1","2","NA","2","100","4","4","1","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",463,"3","2009","10",27300,3980,0,0,,,,,,,,0,0,0,0,0,,519,,0,0,0,,23321,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","6","2500","1","NA","2","2","2","2","1","1","3","2","1","NA","2000","373.88","1","NA","1","NA","1","2","NA","2","160","4","4","2","4","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",472,"2","2009","16",21971,19602,0,0,,,,,,,,0,0,0,0,0,,3308,,0,0,0,,2368,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","3300","1","NA","2","1","2","2","NA","1","5","2","1","319","NA","590.42","1","NA","1","NA","1","2","NA","1","160","4","4","3","2","1","3","1","1","NA","1","NA","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","AT",487,"2","2009","20",28917,14365,0,0,,,,,,,,0,0,0,0,0,,190,,0,0,0,,14551,"NA","NA","NA","3","NA","NA","2","1","2","1","1","1","1","3","4","4000","2","NA","2","2","2","2","1","1","4","2","1","NA","1500","272.91","1","NA","1","NA","1","2","7","2","90","4","4","4","3","1","1","NA","1","NA","NA","1","1","1","1","1","NA","NA","1","1","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",488,"2","2009","15",19816,13190,0,0,,,,,,,,0,2932,0,0,4746,,101,,0,0,0,,6626,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","2500","2","3","2","2","2","2","1","1","6","2","1","NA","1200","1040.23","1","NA","1","NA","1","2","NA","2","150","3","4","1","3","1","1","NA","1","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",491,"2","2009","16",35735,35121,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,614,"NA","3","NA","1","NA","NA","1","1","1","1","1","1","1","1","2","1300","2","2","2","1","1","1","1","2","6","2","1","440","500","1377.2","1","NA","1","NA","1","2","NA","2","190","2","4","4","3","1","3","NA","NA","1","1","NA","NA","1","NA","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",502,"3","2009","17",61516,58990,3152,3152,,,,,,,,3152,0,0,0,0,,129,,0,0,0,,2526,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","5","6000","2","3","2","1","2","2","1","1","6","2","1","NA","2500","291.07","1","NA","1","NA","1","2","NA","2","200","1","4","1","4","2","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1","1","1","1","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",525,"3","2009","20",44543,37367,0,0,,,,,,,,0,1581,0,0,1394,,0,,0,0,0,,7176,"NA","NA","NA","2","NA","NA","1","1","1","1","1","1","1","1","5","1500","1","NA","2","1","2","2","4","2","6","2","1","1100","2000","806.67","1","NA","1","NA","1","2","NA","1","200","4","2","1","3","1","1","NA","NA","1","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
