"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH080","HH081","HH090","HH091","HA010","HA020","HA030","HA040","HA050","HA060","HA070","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010","R_HA030","R_HA040","R_HA050","R_HA060","R_HA070"
"2010","AT",6,"2","2010","2",18589,15485,0,0,,,,,,,,,0,0,0,0,0,,18589,,0,0,0,,3104,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","850","1","3","2","2","2","2","1","NA","3","6","1","1","NA","500","140","0","NA","1","NA","1","3","1","658001","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",11,"3","2010","20",10290,9452,0,0,,,,,,,,,0,0,62,0,0,,2,,0,0,0,,838,,"NA","3","NA","3","NA","NA","1","1","2","1","1","2","1","1","5","2500","2","NA","2","2","2","2","1","NA","2","3","2","1","NA","NA","759.47","0","NA","1","NA","1","3","NA","311501","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",32,"3","2010","15",1799,776,0,0,,,,,,,,,0,0,86,0,0,,3,,0,0,0,,1023,,"NA","3","NA","3","NA","NA","1","1","1","1","1","3","1","3","3","1000","1","1","2","2","2","2","3","NA","1","5","1","1","NA","NA","800.5","0","NA","1","NA","1","1","NA","295901","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",56,"2","2010","13",24429,10955,0,0,,,,,,,,,0,0,0,0,0,,275,,0,0,5358,,8116,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","2000","3","NA","2","2","2","2","1","NA","1","5","2","1","NA","500","604.78","0","NA","1","NA","1","2","1","20501","763102","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",61,"3","2010","20",17733,5120,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,4917,,7696,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1000","2","NA","2","1","2","2","1","NA","1","4","1","1","NA","600","255.3","0","NA","1","NA","1","1","1","545401","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",62,"1","2010","30",54,31,0,0,,,,,,,,,0,0,0,0,0,,54,,0,0,0,,23,,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","1600","3","3","1","2","2","2","3","NA","2","6","1","1","219","NA","330.5","0","NA","1","NA","1","2","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",85,"2","2010","14",17779,14307,0,0,,,,,,,,,0,0,0,0,0,,56,,0,0,0,,3472,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","3000","2","NA","2","2","2","2","3","NA","1","6","2","1","NA","1200","580.53","0","NA","1","NA","1","2","1","NA","7402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",111,"2","2010","7",22547,19542,0,0,,,,,,,,,0,0,0,0,0,,737,,0,0,0,,3005,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","2000","3","NA","2","2","2","2","3","NA","1","6","2","1","NA","1000","540.25","0","NA","1","NA","1","1","1","514202","341103","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",139,"2","2010","11",20502,19251,0,0,,,,,,,,,0,0,0,0,0,,223,,0,0,0,,1252,,"NA","NA","NA","2","NA","3","1","1","1","1","1","3","1","1","3","3500","3","3","2","2","2","2","1","NA","1","6","2","1","NA","2000","543.73","0","NA","1","NA","1","1","NA","123801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","AT",146,"1","2010","21",731,-89,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,821,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","3","1","1","4","NA","3","NA","1","1","2","2","1","NA","1","3","2","1","NA","NA","332.25","0","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
