"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2010","AT",61,475.527426160338,"2",1976,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",6,33,"2","0.0833333333","0","0",34
"2010","AT",111,475.527426160338,"4",1938,"2","1","4","1","11","2","NA","NA","0","NA","NA","NA",11,71,"2","0.7916666667","0","0",71
"2010","AT",321,475.527426160338,"1",1974,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",32,35,"1","1","0","100",36
"2010","AT",561,475.527426160338,"4",1945,"2","1","3","4","11","2","NA","NA","NA","NA","NA","NA",56,64,"2","99","0","0",65
"2010","AT",611,475.527426160338,"1",1941,"2","1","1","1","11","3","NA","NA","NA","0","NA","NA",61,68,"2","99","0","0",68
"2010","AT",621,475.527426160338,"3",1982,"2","1","1","1","11","2","NA","NA","NA","NA","0","NA",62,27,"2","99","0","110",27
"2010","AT",851,475.527426160338,"2",1939,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",85,70,"0","99","0","0",71
"2010","AT",1111,475.527426160338,"4",1929,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",111,80,"0","99","0","0",80
"2010","AT",1391,475.527426160338,"4",1929,"2","1","1","1","11","2","NA","NA","NA","NA","NA","0",139,80,"0","0.6666666667","1","0",80
"2010","AT",1461,475.527426160338,"1",1929,"2","1","2","4","11","2","NA","NA","NA","NA","NA","NA",146,80,"0","1","0","0",80
"2010","AT",1611,475.527426160338,"2",1943,"2","1","1","1","11","3","NA","NA","NA","NA","NA","NA",161,66,"0","0.9444444444","0","0",66
"2010","AT",1701,475.527426160338,"2",1953,"1","1","3","4","NA","2","20","NA","NA","0","NA","0",170,56,"0","0","1","100",57
"2010","AT",1721,475.527426160338,"2",1938,"2","1","1","1","NA","3","NA","NA","NA","0","0","NA",172,71,"0","0.8571428571","0","0",72
"2010","AT",1951,475.527426160338,"4",1955,"1","1","1","1","11","NA","NA","0","NA","NA","NA","NA",195,54,"0","99","0","0",54
"2010","AT",1971,475.527426160338,"4",1949,"1","1","4","1","NA","3","NA","NA","NA","NA","0","NA",197,60,"0","0.75","0","0",60
"2010","AT",2061,475.527426160338,"1",1953,"1","1","1","1","11","2","NA","NA","NA","NA","NA","0",206,56,"0","0.9166666667","0","0",56
"2010","AT",2171,475.527426160338,"2",1955,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",217,54,"0","99","1","0",55
"2010","AT",2331,475.527426160338,"4",1957,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",233,52,"2","99","0","0",53
"2010","AT",2661,475.527426160338,"4",1982,"2","1","3","1","11","2","NA","NA","0","NA","0","NA",266,27,"0","0","0","0",27
"2010","AT",2761,475.527426160338,"3",1952,"1","1","1","1","11","2","NA","NA","NA","NA","0","NA",276,57,"0","0.4969292538","0","0",57
"2010","AT",2781,475.527426160338,"4",1976,"1","1","1","1","11","5","NA","NA","NA","NA","0","NA",278,33,"0","0","0","100",33
"2010","AT",2851,475.527426160338,"1",1953,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",285,56,"0","99","0","100",57
"2010","AT",3021,475.527426160338,"4",1982,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",302,27,"2","0.7619047619","0","0",28
"2010","AT",3091,475.527426160338,"3",1942,"2","1","1","1","11","3","NA","NA","0","NA","0","NA",309,67,"0","0.5857142857","0","0",68
"2010","AT",3211,475.527426160338,"1",1945,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",321,64,"2","0.5","0","0",64
"2010","AT",3341,475.527426160338,"2",1945,"2","1","1","1","11","2","NA","NA","NA","NA","NA","0",334,64,"2","0.5","0","0",64
"2010","AT",3451,475.527426160338,"4",1943,"2","1","1","4","11","2","NA","NA","NA","0","0","NA",345,66,"0","0.875","0","0",67
"2010","AT",3461,475.527426160338,"4",1960,"2","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA",346,49,"2","1","0","0",50
"2010","AT",3471,475.527426160338,"1",1987,"1","1","1","1","NA","3","NA","NA","NA","NA","0","NA",347,22,"0","0.7285714286","0","0",22
"2010","AT",3501,475.527426160338,"2",1974,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",350,35,"0","1","0","0",36
