"DB010","DB020","DB030","DB040","DB062","DB090"
"2011","AT",6,"AT11","NA","548.3214"
"2011","AT",11,"AT11","NA","764.2693"
"2011","AT",32,"AT11","NA","516.3616"
"2011","AT",57,"AT11","NA","398.8191"
"2011","AT",62,"AT11","NA","394.9059"
"2011","AT",85,"AT11","NA","702.0414"
"2011","AT",112,"AT11","NA","476.1068"
"2011","AT",140,"AT11","NA","902.9146"
"2011","AT",147,"AT11","NA","823.6155"
"2011","AT",162,"AT11","NA","1039.115"
"2011","AT",172,"AT11","NA","733.5548"
"2011","AT",173,"AT11","NA","1143.391"
"2011","AT",197,"AT11","NA","1501.706"
"2011","AT",199,"AT11","NA","1677.036"
"2011","AT",208,"AT11","NA","510.1955"
"2011","AT",219,"AT11","NA","574.3557"
"2011","AT",236,"AT11","NA","415.8481"
"2011","AT",269,"AT11","NA","368.5607"
"2011","AT",278,"AT11","NA","1236.318"
"2011","AT",279,"AT11","NA","444.0533"
"2011","AT",287,"AT11","NA","965.3215"
"2011","AT",312,"AT11","NA","876.4526"
"2011","AT",324,"AT11","NA","1056.895"
"2011","AT",348,"AT11","NA","802.7907"
"2011","AT",349,"AT11","NA","468.6736"
"2011","AT",350,"AT11","NA","1470.027"
"2011","AT",388,"AT11","NA","601.1404"
"2011","AT",396,"AT11","NA","602.318"
"2011","AT",398,"AT11","NA","475.7781"
"2011","AT",407,"AT11","NA","1135.32"
"2011","AT",408,"AT11","NA","834.8728"
"2011","AT",429,"AT11","NA","573.5217"
"2011","AT",431,"AT11","NA","679.3135"
"2011","AT",445,"AT11","NA","773.3862"
"2011","AT",453,"AT11","NA","930.012"
"2011","AT",468,"AT11","NA","843.6879"
"2011","AT",470,"AT11","NA","173.515"
"2011","AT",479,"AT11","NA","856.2201"
"2011","AT",495,"AT11","NA","424.3066"
"2011","AT",499,"AT11","NA","462.6432"
"2011","AT",510,"AT11","NA","885.4125"
"2011","AT",534,"AT11","NA","1353.353"
"2011","AT",559,"AT11","NA","793.9836"
"2011","AT",560,"AT11","NA","460.3914"
"2011","AT",572,"AT11","NA","502.694"
"2011","AT",579,"AT11","NA","1098.073"
"2011","AT",585,"AT11","NA","728.6202"
"2011","AT",590,"AT11","NA","1000.766"
"2011","AT",605,"AT11","NA","281.3885"
"2011","AT",619,"AT11","NA","344.3364"
"2011","AT",624,"AT11","NA","787.4587"
"2011","AT",634,"AT11","NA","474.5812"
"2011","AT",636,"AT11","NA","691.1079"
"2011","AT",644,"AT11","NA","488.2835"
"2011","AT",650,"AT11","NA","312.1998"
"2011","AT",674,"AT11","NA","532.1177"
"2011","AT",705,"AT11","NA","884.3557"
"2011","AT",708,"AT11","NA","262.5205"
"2011","AT",732,"AT11","NA","583.159"
"2011","AT",741,"AT11","NA","906.8719"
"2011","AT",742,"AT11","NA","592.4731"
"2011","AT",749,"AT11","NA","777.7105"
"2011","AT",760,"AT11","NA","466.2085"
"2011","AT",775,"AT11","NA","815.619"
"2011","AT",777,"AT11","NA","292.5926"
"2011","AT",783,"AT11","NA","233.1063"
"2011","AT",784,"AT11","NA","884.5615"
"2011","AT",787,"AT11","NA","446.722"
"2011","AT",788,"AT11","NA","389.1656"
"2011","AT",804,"AT11","NA","440.953"
"2011","AT",816,"AT11","NA","419.0424"
"2011","AT",845,"AT11","NA","629.7188"
"2011","AT",849,"AT11","NA","238.6796"
"2011","AT",853,"AT11","NA","1188.477"
"2011","AT",861,"AT11","NA","350.4159"
"2011","AT",863,"AT11","NA","548.4753"
"2011","AT",873,"AT11","NA","627.8977"
"2011","AT",891,"AT11","NA","1064.83"
"2011","AT",893,"AT11","NA","602.9857"
"2011","AT",896,"AT11","NA","707.427"
"2011","AT",907,"AT11","NA","1164.812"
"2011","AT",951,"AT11","NA","580.106"
"2011","AT",954,"AT11","NA","466.9909"
"2011","AT",958,"AT11","NA","973.2294"
"2011","AT",960,"AT11","NA","505.9846"
"2011","AT",965,"AT11","NA","556.2993"
"2011","AT",967,"AT11","NA","826.8592"
"2011","AT",969,"AT11","NA","1006.245"
"2011","AT",986,"AT11","NA","546.4676"
"2011","AT",997,"AT11","NA","712.9248"
"2011","AT",1006,"AT11","NA","315.2893"
"2011","AT",1016,"AT11","NA","435.6421"
"2011","AT",1021,"AT11","NA","1164.739"
"2011","AT",1025,"AT11","NA","523.6866"
"2011","AT",1031,"AT11","NA","811.5573"
"2011","AT",1063,"AT11","NA","732.5495"
"2011","AT",1066,"AT11","NA","202.3063"
"2011","AT",1069,"AT11","NA","603.3712"
"2011","AT",1080,"AT11","NA","2581.755"
"2011","AT",1104,"AT11","NA","762.475"
"2011","AT",1132,"AT11","NA","562.4608"
"2011","AT",1133,"AT11","NA","575.189"
"2011","AT",1173,"AT11","NA","898.2047"
"2011","AT",1177,"AT11","NA","808.9654"
"2011","AT",1188,"AT11","NA","896.3555"
"2011","AT",1196,"AT11","NA","657.4765"
"2011","AT",1197,"AT11","NA","467.6597"
"2011","AT",1198,"AT11","NA","851.453"
"2011","AT",1205,"AT11","NA","440.953"
"2011","AT",1225,"AT11","NA","584.2045"
"2011","AT",1235,"AT11","NA","705.876"
"2011","AT",1258,"AT11","NA","613.6044"
"2011","AT",1279,"AT11","NA","722.3212"
"2011","AT",1288,"AT11","NA","565.0569"
"2011","AT",1337,"AT11","NA","576.0347"
"2011","AT",1361,"AT11","NA","782.3917"
"2011","AT",1363,"AT11","NA","628.3792"
"2011","AT",1378,"AT11","NA","886.1246"
"2011","AT",1384,"AT11","NA","512.9636"
"2011","AT",1386,"AT11","NA","610.7719"
"2011","AT",1407,"AT11","NA","548.1516"
"2011","AT",1416,"AT11","NA","872.5138"
"2011","AT",1427,"AT11","NA","434.9569"
"2011","AT",1429,"AT11","NA","949.5194"
"2011","AT",1445,"AT11","NA","886.1246"
"2011","AT",1467,"AT11","NA","1592.509"
"2011","AT",1468,"AT11","NA","422.5033"
"2011","AT",1474,"AT11","NA","586.8794"
"2011","AT",1515,"AT11","NA","575.7663"
"2011","AT",1536,"AT11","NA","496.5859"
"2011","AT",1539,"AT11","NA","747.2511"
"2011","AT",1545,"AT11","NA","678.619"
"2011","AT",1546,"AT11","NA","406.2733"
"2011","AT",1552,"AT11","NA","808.1029"
"2011","AT",1555,"AT11","NA","318.6185"
"2011","AT",1561,"AT11","NA","361.8232"
"2011","AT",1563,"AT11","NA","467.971"
"2011","AT",1566,"AT11","NA","381.6935"
"2011","AT",1578,"AT11","NA","385.758"
"2011","AT",1583,"AT11","NA","365.2479"
"2011","AT",1597,"AT11","NA","933.7506"
"2011","AT",1616,"AT11","NA","2632.956"
"2011","AT",1629,"AT11","NA","228.2911"
"2011","AT",1644,"AT11","NA","518.37"
"2011","AT",1646,"AT11","NA","741.5482"
"2011","AT",1657,"AT11","NA","1026.545"
"2011","AT",1662,"AT11","NA","457.7022"
"2011","AT",1688,"AT11","NA","1511.404"
"2011","AT",1689,"AT11","NA","437.0169"
"2011","AT",1702,"AT11","NA","394.4803"
"2011","AT",1716,"AT11","NA","346.7775"
"2011","AT",1741,"AT11","NA","656.0766"
"2011","AT",1742,"AT11","NA","407.0323"
"2011","AT",1744,"AT11","NA","1154.771"
"2011","AT",1779,"AT11","NA","1576.938"
"2011","AT",1796,"AT11","NA","538.7624"
"2011","AT",1800,"AT11","NA","397.2492"
"2011","AT",1815,"AT11","NA","680.5051"
"2011","AT",1818,"AT11","NA","655.9463"
"2011","AT",1819,"AT11","NA","1187.564"
"2011","AT",1821,"AT11","NA","414.0416"
"2011","AT",1830,"AT11","NA","542.3562"
"2011","AT",1865,"AT11","NA","522.769"
"2011","AT",1879,"AT11","NA","740.0515"
"2011","AT",1901,"AT11","NA","758.0305"
"2011","AT",1914,"AT11","NA","482.56"
"2011","AT",1936,"AT11","NA","937.5565"
"2011","AT",1959,"AT11","NA","544.4025"
"2011","AT",1978,"AT11","NA","490.2234"
"2011","AT",1980,"AT11","NA","351.1293"
"2011","AT",2011,"AT11","NA","450.4867"
"2011","AT",2014,"AT11","NA","977.3768"
"2011","AT",2038,"AT11","NA","405.4244"
"2011","AT",2044,"AT11","NA","546.1503"
"2011","AT",2046,"AT11","NA","370.0255"
"2011","AT",2050,"AT11","NA","510.5502"
"2011","AT",2052,"AT11","NA","1172.924"
"2011","AT",2053,"AT11","NA","741.9651"
"2011","AT",2055,"AT11","NA","512.6623"
"2011","AT",2065,"AT11","NA","1365.777"
"2011","AT",2072,"AT11","NA","633.2824"
"2011","AT",2074,"AT11","NA","718.4281"
"2011","AT",2079,"AT11","NA","1134.444"
"2011","AT",2085,"AT11","NA","609.678"
"2011","AT",2090,"AT11","NA","366.024"
"2011","AT",2094,"AT11","NA","424.7299"
"2011","AT",2096,"AT11","NA","693.3166"
"2011","AT",2113,"AT11","NA","397.2492"
