"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","AT",6,"2","2011","15",17633,17387,219,219,,,,,,,,,219,0,0,0,0,,5,,0,0,0,,246,,"3","3","NA","1","1","2","1","1","3","1","3","4","1600","2","NA","2","2","2","2","4","5","2","2","1","NA","700","345.08","0","1","1",,"1",1,,,,,
"2011","AT",11,"1","2011","10",39073,36507,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2566,,"3","3","NA","1","1","1","1","1","1","1","1","3","3000","3","NA","2","2","1","2","2","2","6","2","1","550","NA","699.02","0","1","1",,"1",1,,,,,
"2011","AT",32,"1","2011","10",15210,14518,0,0,,,,,,,,,0,0,0,0,0,,361,,0,0,0,,692,,"NA","3","NA","1","2","1","1","1","1","1","1","4","2000","3","NA","2","2","2","2","3","2","2","2","1","450","NA","367.23","0","1","1",,"1",1,,,,,
"2011","AT",57,"2","2011","6",25708,20473,0,0,,,,,,,,,0,0,0,0,0,,763,,0,0,0,,5235,,"NA","3","NA","1","1","2","1","1","1","1","1","3","1200","3","NA","2","1","2","1","1","1","6","1","1","NA","1000","1221.89","0","1","1",,"1",1,,,,,
"2011","AT",62,"1","2011","8",0,-426,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,117,,309,,"3","3","3","1","1","1","1","1","1","1","1","4","1800","2","NA","2","2","2","2","1","2","5","2","1","495","NA","293.07","0","1","1",,"1",1,,,,,
"2011","AT",85,"1","2011","20",37556,29757,0,0,,,,,,,,,0,0,0,0,0,,9053,,0,0,0,,7799,,"3","3","3","1","1","1","1","1","1","1","1","5","5000","3","NA","2","2","2","2","1","1","4","2","1","778","800","245.51","0","1","1",,"1",1,,,,,
"2011","AT",112,"3","2011","10",20074,19465,0,0,,,,,,,,,0,7850,0,0,0,,0,,0,0,0,,609,,"3","3","NA","1","1","2","1","1","1","1","1","5","2000","1","NA","2","2","2","2","3","2","2","2","1","NA","300","543.71","0","1","1",,"1",1,,,,,
"2011","AT",140,"1","2011","10",889,-2006,0,0,,,,,,,,,0,0,0,0,0,,426,,0,0,0,,2895,,"NA","3","NA","1","1","1","1","1","1","1","1","4","4500","2","NA","2","2","2","2","1","4","2","2","1","470","400","704.28","0","1","1",,"1",1,,,,,
"2011","AT",147,"1","2011","7",46043,12363,0,0,,,,,,,,,0,0,0,0,34423,,0,,0,0,33680,,0,,"3","3","NA","1","1","1","1","1","1","1","3","5","1200","3","NA","2","2","2","2","1","4","4","2","1","NA","1000","494.86","0","1","1",,"1",1,,,,,
"2011","AT",162,"2","2011","8",74638,69808,0,0,,,,,,,,,0,0,0,0,0,,34769,,0,0,0,,4830,,"NA","3","NA","1","1","1","1","1","1","1","3","5","4500","3","NA","2","2","2","2","1","1","3","2","1","NA","800","245.51","0","1","1",,"1",1,,,,,
"2011","AT",172,"1","2011","11",10304,7544,0,0,,,,,,,,,0,0,0,0,0,,22,,0,0,280,,2480,,"3","3","3","2","1","1","1","1","1","1","3","4","1800","3","NA","2","2","2","2","2","3","6","2","1","NA","NA","202.67","41.67","1","1",,"1",1,,,,,
"2011","AT",173,"2","2011","13",16407,14132,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2275,,"3","3","NA","1","1","1","1","1","1","1","2","2","2000","3","NA","2","2","2","2","2","2","4","2","1","NA","1200","408.13","0","1","1",,"1",1,,,,,
"2011","AT",197,"2","2011","15",18856,-11167,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,30024,,"3","3","NA","1","1","1","1","1","1","1","1","6","800","2","NA","2","2","2","2","1","1","5","2","1","NA","800","714.46","0","1","1",,"1",1,,,,,
"2011","AT",199,"2","2011","13",41761,41735,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,9,,17,,"NA","3","NA","1","1","1","1","1","1","1","1","3","1800","2","NA","2","2","2","2","2","4","3","2","1","NA","650","322.81","0","1","1",,"1",1,,,,,
"2011","AT",208,"2","2011","10",12840,12697,141,141,,,,,,,,,141,0,0,0,0,,36,,0,0,14,,129,,"NA","3","NA","1","1","2","1","3","1","1","1","4","1800","2","3","2","2","2","2","1","3","2","2","1","268","800","791.96","520.83","1","1",,"1",1,,,,,
"2011","AT",219,"1","2011","6",20995,13234,0,0,,,,,,,,,0,0,0,0,1779,,0,,0,0,0,,7761,,"2","3","NA","2","1","1","1","1","1","1","1","4","2000","2","NA","2","2","2","2","1","3","5","1","1","NA","500","831.38","0","1","1",,"1",1,,,,,
"2011","AT",236,"1","2011","16",22199,16595,2549,2549,,,,,,,,,2549,0,0,0,0,,98,,0,0,0,,5604,,"3","1","NA","1","1","2","1","3","1","1","1","5","1600","3","NA","2","2","2","2","1","2","6","1","1","NA","NA","617.98","0","1","1",,"1",1,,,,,
