"HB010","HB020","HB030","HB050","HB060","HB100","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HY010","HY020","HY022","HY023","HY025","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","AT",293,"5","2012","37","3","3",,"1","1","2","1","1","3","1","1","1","2500","1",,"2","2","2","1","3","5","1","2","1","200",,"20.28",,"1","1",30027,19254,19254,19254,1,3910,0,0,0,0,0,0,7,3922,0,0,0,0,10773,"2","170","1","1","1","1","1","4","3","4","1","3","3",,"3",
"2012","AT",521,"8","2012","33","3","3",,"1","1","1","1","1","1","1","1","4","2000","3",,"2","2","2","2","4","3","4","2","2","450","500","313.51",,"1","1",22034,18045,18045,6284,1,0,1007,0,0,0,0,0,881,0,0,0,0,0,3989,"2","90","1","1","1","1","1","4","3","4","2","4","4","2","3",
"2012","AT",1682,"5","2012","17",,"3",,"1","1","1","1","1","1","1","1","5","2900","3",,"2","2","2","1","1","5","2","2","1","820","1500","410.92",,"1","1",29266,29070,29070,2039,1,0,0,0,0,0,0,0,2235,0,0,0,0,0,196,"2","130","1","1","1","1","2","4","2","3","4","4","3","3","3",
"2012","AT",2960,"8","2012","29","3","3",,"1","1","1","1","1","3","1","1","4","470","3",,"1","2","2","2","4","3","3","2","1","509",,"586.89",,"1","1",8765,2768,2768,-5994,1,0,0,0,0,0,0,0,3,0,0,0,0,2400,5997,"1","73","1","1","1","1","1","4","4","3","3","1","3",,"3",
"2012","AT",3152,"5","2012","16","3","3","1","1","1","1","1","1","1","1","1","3","1100","2",,"2","1","2","2","3","1","3","2","1","173",,"326.64","100","1","1",21977,12103,12103,12103,1,4833,0,0,0,0,0,0,26,0,0,0,0,0,9873,"1","120","1","1","1","1","1","4","3","2","4","3","2",,"3",
"2012","AT",3393,"3","2012","40","3","3",,"2","1","2","1","1","3","1","2","3","2350","2",,"2","1","2","2","4","1","4","2","1",,,"261.72",,"1","1",19087,16084,16084,-2720,1,1508,0,0,0,0,0,0,233,335,0,0,0,0,3003,"2","130","1","1","1","1","1","4","3","3","3","4","3",,"3",
"2012","AT",4358,"4","2012","24",,"3",,"1","1","1","1","1","1","1","1","3","1700","2",,"2","2","2","2","4","3","5","2","1",,,"621.6",,"1","1",52332,51747,-123,-123,1,0,0,0,0,0,0,0,462,6960,0,0,573,0,11,"2","180","1","1","1","1","2","4","3","4","3","3","4",,"3",
"2012","AT",5742,"7","2012","26","3","3",,"2","1","1","1","1","1","1","1","1","1300","2",,"2","1","2","2","3","2","3","2","1",,"350","440.71",,"1","1",11146,1761,1761,1761,1,0,0,0,0,0,0,0,177,0,0,0,0,0,9385,"2","100","1","1","1","1","1","3","3","4","4","4","1",,"3",
"2012","AT",7512,"4","2012","15","3","3",,"1","2","1","1","1","1","1","1","4","1500","3",,"2","2","2","2","4","2","3","2","1",,"400","456.1",,"1","1",30617,27234,27234,-3240,1,5457,77,0,0,0,0,0,67,0,0,0,0,0,3383,"2","120","1","1","1","1","1","3","4","4","4","4","3","3","3",
"2012","AT",8054,"6","2012","18","3","3",,"2","1","2","1","1","3","1","3","4","900","2",,"2","2","2","2","4","2","1","2","1","400","700","425.32",,"1","1",59865,45201,45201,45201,1,7122,0,0,0,0,0,0,2,0,0,0,0,0,14664,"2","68","1","1","1","1","1","3","3","3","4","4",,,"3",
"2012","AT",8735,"4","2012","32","3","3","3","1","1","1","1","1","1","1","1","4","1500","3",,"2","2","2","2","3","3","4","2","1",,"1000","350.35",,"1","1",15850,10524,10524,-5114,1,5233,0,0,0,0,0,0,212,0,0,0,0,0,5326,"2","130","1","1","1","1","1","1","4","2","2","1","3","3","3",
"2012","AT",9129,"3","2012","19","3","3",,"1","1","2","1","1","3","1","1","3","500","3",,"2","2","2","2","2","1","3","2","1",,"1500","357.03","277.083333333333","1","1",19357,19075,-136,-136,1,250,0,0,0,0,0,0,146,0,0,0,0,0,282,"1","100","1","1","1","1","2","4","3","4","3","2","3",,"3",
"2012","AT",9179,"4","2012","13","3","3",,"1","1","1","1","3","1","1","3","4","1000","2",,"2","1","2","2","3","4","3","2","1",,"400","448.4",,"1","1",88657,81663,81663,81663,1,0,0,0,0,0,0,0,1120,1042,0,0,0,0,6994,"2","100","1","1","1","1","2","4","3","4","3","3","3",,"3",
"2012","AT",10058,"5","2012","11","3","3","3","1","2","2","1","1","1","1","2","6","1800","2",,"2","2","2","2","3","4","3","1","1","135","700","203.08",,"1","1",26548,22978,22978,865,1,3827,0,0,0,0,0,8712,10,0,0,0,1833,0,1737,"2","80","1","1","1","1","1","3","3","4","4","3","3","3","3",
"2012","AT",10568,"5","2012","20","3","3",,"1","2","1","1","1","1","1","1","4","2000","2",,"2","2","2","2","1","1","3","2","1",,"2000","799.11","231.25","1","1",194809,160838,160838,160838,1,3903,0,0,0,0,0,0,20215,0,0,0,6534,0,27436,"2","150","1","1","2","1","1","3","1","3","1","4","3",,"3",
"2012","AT",10789,"4","2012","16",,"3",,"1","2","1","1","1","3","1","1","5","2500","3",,"2","2","2","2","4","1","3","2","1",,,"463.1","30.3333333333333","1","1",20418,17442,17442,-108,1,0,33,0,0,0,0,0,179,0,0,0,0,0,2976,"1","150","1","1","1","1","1","4","4","3","2","4","1","4","3",
"2012","AT",11081,"7","2012","14",,"3","3","1","1","1","1","3","1","1","3","1","800","3","2","2","2","2","2","4","1","4","2","1",,,"66.04",,"1","1",34733,16870,16870,16870,1,2897,0,0,0,0,0,0,7,0,0,0,0,0,17863,"2","146","1","1","2","1","1","3","4","3","4",,"3",,"3",
"2012","AT",12445,"3","2012","11","3","3",,"1","1","2","1","1","3","1","1","5","2500","3",,"2","2","2","2","4","3","2","2","1","505","450","411.16","97.2225","1","1",33043,23404,23404,23404,1,598,0,0,0,0,0,0,5,9200,0,0,0,0,9640,"2","52","1","1","1","1","1","4","3","3","2","3","4",,"3",
"2012","AT",14552,"5","2012","15","3","3","3","1","1","1","1","1","1","1","1","5","1000","2",,"2","2","2","2","3","1","2","2","1","383",,"363.76",,"1","1",14053,11840,11840,-1948,1,14785,0,0,0,0,0,0,266,0,0,0,0,3000,2214,"2","120","1","1","1","2","2","4","3","1","4","4","4",,"2",
"2012","AT",14653,"5","2012","24","3","3",,"1","1","1","1","1","1","1","1","3","1200","3",,"2","1","2","2","1","3","3","2","1","490",,"183.36",,"1","1",30891,22273,-8477,-8477,1,3337,0,0,0,0,0,0,141,0,0,0,0,0,8618,"2","125","1","1","2","1","1","3","4","3","3","4","3","2","3",
"2012","AT",15082,"4","2012","15","3","3",,"1","1","1","1","1","3","1","1","2","2000","3",,"2","2","2","2","1","1","4","2","1",,"800","24.96",,"1","1",32224,20586,20586,20586,1,0,0,0,0,0,0,0,148,1165,0,0,0,0,11638,"2","270","1","1","1","1","1","3","4","4","3","4","4",,"3",
"2012","AT",15145,"5","2012","15",,"1",,"1","1","1","1","1","1","3","1","3","773","3",,"2","2","2","2","3","3","4","2","1","681",,"498.68",,"1","1",25247,23747,23747,-1454,1,0,0,0,0,0,0,0,47,0,0,0,289,0,1212,"2","450","1","1","1","1","1","3","2","4","2","4","4",,"3",
"2012","AT",15740,"4","2012","13","3","3",,"2","1","1","1","1","3","1","1","5","2000","2",,"2","2","2","2","3","3","1","2","1",,"600","457.85",,"1","1",37618,29030,29030,-8544,1,0,0,0,0,0,0,0,44,400,0,0,0,0,8588,"2","49","2","1","1","1","1","4","4","4","3","4","4",,"3",
"2012","AT",17263,"4","2012","21",,"3",,"1","1","1","1","1","1","1","1","4","1400","2",,"2","2","2","2","1","5","3","2","1",,"500","718.68","333.333333333333","1","1",22376,18826,17309,-2391,1,0,0,0,0,0,0,0,1159,0,0,0,0,0,3550,"2","90","1","1","1","1","1","3","2","3","3","4","4","3","3",
"2012","AT",17880,"4","2012","27","3","3",,"1","1","1","1","1","2","1","1","3","1600","2",,"2","2","2","2","2","3","4","2","1",,"600","452.16","135.25","1","1",70158,62982,-7177,-7177,1,7611,0,10,0,0,0,0,0,0,0,0,0,12000,7177,"2","70","2","1","1","1","1","4","3","1","2","3","3",,"3",
