"HB010","HB020","HB030","HB050","HB060","HB100","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HY010","HY020","HY022","HY023","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240"
"2013","AT",295,"4","2013","14","3","3",,"1","1","1","1","1","1","1","3","6","1700","3",,"2","2","2","2","4","3","3","2","1",,"800","238.73","707.1425","1","1",24099,22829,22829,-1190,3945,0,0,0,0,0,0,80,0,0,0,0,0,1270,,,,,,,,,"1",,,"1",,
"2013","AT",524,"3","2013","12",,"3",,"1","1","1","1","1","1","1","1","3","500","2",,"2","1","1","2","3","1","2","2","1","245.18","550","501.38",,"1","1",64231,55814,55814,55814,6439,0,0,0,0,0,0,45,0,0,0,0,0,8417,,,,,,,,,,"1",,"1",,
"2013","AT",1693,"3","2013","10","3","3",,"1","1","2","1","1","1","1","1","2","1500","1",,"2","1","2","2","2","3","3","2","1","410",,"529.67","130.9525","1","1",42556,38995,38995,38995,0,15259,0,0,0,0,0,10767,0,0,0,0,0,3561,,,,,,,,,,"1",,,,
"2013","AT",2979,"4","2013","4","3","3",,"1","1","2","1","3","1","1","1","3","2000","1",,"2","1","2","2","1","1","2","2","1",,"950","341.75",,"1","1",49765,49057,49057,49057,5264,0,0,0,0,0,0,447,0,0,0,0,0,707,,,,,,,,,"3",,,,,
"2013","AT",3173,"5","2013","20",,"3",,"2","1","1","1","1","1","1","1","4","1400","3",,"2","1","2","2","1","3","3","2","1","329",,"47.48",,"1","1",17794,3483,3483,-13936,2127,0,0,0,0,0,0,376,0,0,0,0,0,14311,,,,,,,,,,,,,,
"2013","AT",3416,"5","2013","6","3","3",,"1","1","2","1","1","1","1","1","4","1100","2",,"2","2","2","2","3","3","3","1","1","258",,"297.37",,"1","1",29435,13918,13825,13825,0,0,0,0,93,0,0,22,0,0,0,0,0,15517,,,,,,,,,,,,"1",,
"2013","AT",4387,"4","2013","11","3","3",,"1","1","2","1","1","1","1","3","2","1600","3",,"2","2","1","2","1","3","2","2","1","355","350","425.57",,"1","1",13339,12697,-584,-584,384,0,0,0,6,0,0,0,440,0,0,0,0,642,,,,,,,,,,"1",,"1",,
"2013","AT",5780,"3","2013","9","3","3",,"1","1","1","1","2","3","1","3","4","1200","3",,"1","2","2","2","4","1","2","2","1","447","600","316.75",,"1","1",4,-12,-16,-16,4444,0,0,0,4,0,0,0,0,0,0,0,0,16,,,,,,,,,,"1","1","1",,
"2013","AT",7561,"4","2013","12","3","3",,"1","1","2","1","1","1","1","1","4","1800","2","3","2","2","2","1","1","1","3","2","1",,"550","479.56","380.681666666667","1","1",37329,24334,24334,24334,3612,0,0,0,0,0,0,2062,0,0,0,0,0,12995,,,,,,,,,,"1","1",,,
"2013","AT",8107,"3","2013","9",,"2","3","1","1","2","1","1","1","1","1","3","1800","3",,"2","1","2","2","4","4","4","2","1",,"500","499.3","104.761666666667","1","1",14015,13836,13715,-179,0,0,0,0,121,0,0,0,0,0,0,0,0,179,,,,,,,"1",,,,,,,
"2013","AT",8792,"3","2013","10","3","3",,"1","1","1","1","1","3","1","1","5","1800","2",,"2","2","2","2","3","1","3","2","1",,,"382.84",,"1","1",205,-12249,-12249,-12249,0,0,0,0,0,0,0,205,0,0,0,0,0,12454,,,,,,,,,"1","1",,,,
"2013","AT",9189,"5","2013","45",,"3",,"1","1","1","1","1","3","1","1","1","1500","2",,"2","2","1","2","4","1","3","1","1","240","650","203.28","177.213333333333","1","3",8,-39,-39,-39,3018,0,0,0,0,0,0,8,0,0,0,0,0,48,,,,,,,"1",,,,,,,
"2013","AT",9239,"4","2013","13",,"3",,"2","1","1","1","1","1","1","1","5","800","3",,"2","2","2","2","1","2","3","1","1",,"1000","928.7",,"1","1",48640,47693,47693,28344,9784,0,0,0,0,0,0,29292,0,0,0,0,0,947,,,,,,,,,,,,,,
"2013","AT",10124,"6","2013","10","3","3",,"1","1","2","1","1","3","1","3","3","1800","1",,"2","2","2","2","3","3","4","1","1","200","500","827.73",,"1","1",95,-11397,-11397,-11397,876,0,0,0,0,0,0,95,0,0,0,5680,6000,5812,,,,,,,,,,,"1",,,
"2013","AT",10637,"4","2013","13","3","3",,"1","1","1","1","1","1","1","3","5","1600","2",,"2","2","2","2","4","4","4","2","1","400",,"756.13","21.0058333333333","1","1",16339,15729,14549,-606,336,0,0,0,0,0,0,4,0,0,0,0,0,610,,,,,,,,,"3",,,,,
"2013","AT",10860,"4","2013","22",,"3","3","1","1","1","1","1","1","1","1","5","1000","3",,"2","2","2","2","1","1","5","2","1","550","800","767.19",,"1","1",24777,20675,20675,-2074,5915,0,0,0,0,0,0,2028,503,0,0,0,0,4102,,,,,,,,,,,"1",,,
"2013","AT",11154,"4","2013","11","3","3",,"1","1","1","1","3","1","1","3","5","1500","1",,"2","1","1","2","4","3","5","2","1",,"650","198.25",,"1","1",21460,14461,14448,14448,5774,0,0,0,13,0,0,0,0,0,0,0,0,6999,,,,,,,,,,,,,,
"2013","AT",12527,"6","2013","14",,"3",,"1","1","1","1","1","1","1","1","3","2500","2",,"2","2","2","2","1","4","3","1","1",,"1000","966.46",,"1","1",41692,31648,31648,31648,0,0,0,0,0,0,0,1523,0,0,0,0,0,10044,,,,,,,"1",,,,"1","1",,
"2013","AT",14647,"4","2013","16",,"3",,"2","1","1","1","1","1","1","1","3","1500","2",,"2","1","1","2","4","1","1","2","2",,,"546.2",,"1","1",8197,8057,8057,-137,5463,0,0,0,0,0,0,3,13620,0,0,0,0,140,,,,,,,,,"1","1",,"1",,
"2013","AT",14750,"4","2013","16",,"3",,"1","1","1","1","1","1","1","1","4",,"2",,"2","1","2","2","1","3","4","2","1","758","500","549.67",,"1","1",25186,23531,23531,5041,0,0,0,0,0,0,0,2068,0,0,0,249,0,1406,,,,,,,,,,,,,,
"2013","AT",15181,"4","2013","18",,"3",,"1","1","1","1","1","1","1","1","2","1100","2",,"2","2","1","2","3","5","3","2","1","524","1300","515.89",,"1","1",36705,12544,12544,12544,9565,0,0,0,0,0,0,56,27,0,0,0,0,24161,,,,,,,,,,,,,,
"2013","AT",15245,"6","2013","19",,"3","1","1","1","1","1","1","1","1","1","4","1500","2",,"2","2","2","2","4","1","2","2","1",,"600","281.12",,"1","1",14807,11490,11490,-3196,0,0,0,0,0,0,0,120,0,0,0,0,0,3317,,,,,,,,,"1",,,,,
