"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060"
"2013","AT",29501,575.635,"4",1947,"2","1","1",,"11","3",,,,,"0",
"2013","AT",52401,575.635,"7",1954,"1","1","1",,"11",,,,,,,
"2013","AT",169301,575.635,"11",1953,"1","1","1",,"11","3",,,,,,
"2013","AT",297901,575.635,"10",1952,"1","1","3",,"11","3","40",,,,,
"2013","AT",317301,575.635,"4",1946,"1","1","4",,,"3",,,,,,
"2013","AT",341601,575.635,"6",1958,"1","1","3",,"11","3",,,,,,"1"
"2013","AT",438701,575.635,"5",1952,"2","1","1",,"11","3",,,,,"0",
"2013","AT",578001,575.635,"1",1947,"2","1","1",,,"3",,,,,"0",
"2013","AT",756101,575.635,"1",1984,"2","1","4",,"11","2",,,,,,
"2013","AT",810701,575.635,"8",1932,"2","1","3",,"11","2",,,,,"0","0"
"2013","AT",879201,575.635,"4",1984,"2","1","1",,"11",,,,,"0",,
"2013","AT",918901,575.635,"6",1947,"2","1","1",,"11",,,,,,,
"2013","AT",923901,575.635,"3",1943,"2","1","1",,"11","5",,,,,,
"2013","AT",1012401,575.635,"7",1984,"2","1","1",,"11","3",,,,"0",,
"2013","AT",1063701,575.635,"1",1932,"2","1","1",,,"2",,,,,,
"2013","AT",1086001,575.635,"1",1932,"2","1","1",,"11","3",,,,,,
"2013","AT",1115401,575.635,"3",1967,"2","1","1",,"11",,,,,,,
"2013","AT",1252701,575.635,"10",1984,"2","1","1",,"11",,,,,,,
"2013","AT",1464701,575.635,"4",1939,"2","1","1",,"11","5",,,,,,
"2013","AT",1475001,575.635,"6",1943,"2","1","4",,"11","2",,,,,"0",
"2013","AT",1518101,575.635,"6",1964,"1","1","1",,"11","5",,,,,,
"2013","AT",1524501,575.635,"9",1932,"2","1","4",,"11","2",,,,,,
"2013","AT",1584401,575.635,"11",1984,"2","1","4",,"11","2",,,,"0",,
"2013","AT",1737701,575.635,"12",1947,"2","1","1",,"11","2",,,,,,
"2013","AT",1799801,575.635,"2",1943,"2","1","1",,"11","2",,,,,"0","15"
"2013","AT",1849901,575.635,"3",1943,"2","2","3",,"11",,,,,,,
"2013","AT",1892701,575.635,"7",1950,"1","1","3",,"11","3",,"0","0",,,"0"
"2013","AT",2011101,575.635,"11",1979,"1","1","3",,"11",,,,,,,
"2013","AT",2108401,575.635,"2",1943,"2","1","4",,,,,,,"0",,
"2013","AT",2123601,575.635,"5",1959,"2","1","3",,"11","3",,,"0","0",,"0"
"2013","AT",2140101,575.635,"2",1986,"2","2","1",,"11","2",,,,,,
"2013","AT",2188301,575.635,"10",1979,"1","1","3",,"11","2",,,,,"0",
"2013","AT",2257001,575.635,"5",1932,"1","1","1",,"11","3","20",,,,,
"2013","AT",2322601,575.635,"12",1947,"2","1","4",,"11","3",,,"0",,"0",
"2013","AT",2341201,575.635,"11",1959,"2","1","3",,"11","5","0",,,,"0",
"2013","AT",2380901,575.635,"10",1932,"2","1","1",,"11","2",,,,,,
"2013","AT",2463701,575.635,"8",1938,"2","1","4",,"11","3",,,,,,
"2013","AT",2539301,575.635,"6",1984,"2","1","1",,,"3",,,,,,"4"
"2013","AT",2582601,575.635,"9",1964,"1","2","1",,"11","3",,,,,,
"2013","AT",2607001,575.635,"3",1940,"2","1","4",,,"2",,,"0",,,
"2013","AT",2614101,575.635,"11",1946,"1","1","3",,"11","3",,,,,"0",
"2013","AT",2676501,575.635,"2",1959,"1","1","1",,"11","5","25",,,,,
"2013","AT",2719201,575.635,"1",1932,"1","1","3",,"11",,,"36",,,,
"2013","AT",2843901,575.635,"2",1946,"1","1","3",,"11","5",,,,,,
"2013","AT",2853401,575.635,"9",1984,"2","1","4",,"11",,,,,,,
"2013","AT",2856801,575.635,"9",1964,"1","1","1",,"11","3",,,,,,
"2013","AT",2930801,575.635,"9",1938,"2","1","4",,,"2",,,,,,
"2013","AT",2986501,575.635,"4",1932,"2","1","1",,"11","2",,,"0",,,"0"
"2013","AT",3056901,575.635,"3",1986,"2","1","4",,"11","5",,,,,,
