"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2006","DK",7,"3","2006","8",221671,201331,0,0,,,,,,0,0,0,0,0,2213,,0,0,0,20339,"2","2","2","1","1","1","1","1","1","1","1","6","2012.94","3","3","2","2","2","2","4","1","2","2","1","NA","NA","420.72","1","1","1",1,,,,,,
"2006","DK",27,"2","2006","6",35682,21015,0,0,,,,,,0,0,0,0,0,178,,0,0,0,14667,"2","2","2","1","1","1","1","1","1","1","1","6","NA","3","3","1","2","2","2","1","1","4","2","1","NA","NA","512.78","1","1","1",1,,,,,,
"2006","DK",56,"2","2006","6",27653,18087,0,0,,,,,,0,0,0,2142,0,-579,,0,0,0,9566,"2","2","2","1","1","1","1","1","2","1","1","4","1610.35","3","NA","2","1","2","2","1","1","1","2","1","523.36","NA","1017.75","2","1","1",1,,,,,,
"2006","DK",59,"2","2006","5",27098,21166,0,0,,,,,,0,0,0,4051,0,301,,0,5320,0,612,"2","2","2","1","1","1","1","1","1","1","1","6","1610.35","3","NA","2","2","2","2","1","1","3","2","1","NA","NA","512.3","1","1","1",1,,,,,,
"2006","DK",89,"2","2006","10",21973,17680,0,0,,,,,,0,0,0,0,0,7005,,0,427,0,3865,"2","2","2","1","1","2","1","1","1","1","1","6","1610.35","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","627.8","1","1","1",1,,,,,,
"2006","DK",106,"2","2006","6",17674,13075,0,0,,,,,,0,0,0,0,0,3039,,0,0,0,4600,"2","2","2","1","1","1","1","1","1","1","1","2","268.39","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","652.24","1","1","1",1,,,,,,
"2006","DK",119,"2","2006","12",15379,12367,0,0,,,,,,0,0,0,0,0,17,,0,0,0,3013,"2","2","2","1","1","2","1","1","1","1","2","5","1140.66","3","NA","2","2","2","2","1","1","2","2","1","NA","NA","918.55","1","1","1",1,,,,,,
"2006","DK",197,"2","2006","14",8641,5919,0,0,,,,,,0,0,0,0,0,8641,,0,0,0,2722,"2","2","2","1","1","1","1","1","1","3","1","4","939.37","3","NA","2","1","2","2","1","1","4","2","2","NA","NA","411.36","1","1","1",1,,,,,,
"2006","DK",230,"2","2006","5",18897,14302,0,0,,,,,,0,0,0,1921,0,-68,,0,0,0,4595,"2","2","2","1","1","1","1","1","3","1","1","6","1341.96","3","3","2","2","2","2","4","1","6","2","1","236.86","NA","583.56","1","1","1",1,,,,,,
"2006","DK",244,"2","2006","11",93221,70689,0,0,,,,,,0,0,0,0,0,-412,,0,0,0,22532,"2","2","2","1","1","1","1","1","1","1","1","6","1341.96","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","503.95","1","1","1",1,,,,,,
"2006","DK",263,"2","2006","14",20183,16191,0,0,,,,,,0,0,0,0,0,40,,0,0,0,3992,"1","2","2","1","1","1","1","1","3","1","3","6","2012.94","3","NA","2","2","2","1","3","2","3","2","1","315.36","NA","1081.5","1","1","1",1,,,,,,
"2006","DK",271,"2","2006","8",54303,31682,0,0,,,,,,0,0,0,0,0,-478,,0,296,2889,19437,"2","2","2","1","1","1","1","1","1","3","1","6","NA","3","3","2","2","2","2","1","1","6","2","1","NA","NA","1159.08","1","1","1",1,,,,,,
"2006","DK",296,"2","2006","8",44093,41779,0,0,,,,,,0,0,0,520,0,-70,,0,0,0,2314,"2","2","2","1","1","1","1","1","1","1","1","4","1006.47","3","NA","2","2","2","2","3","1","4","2","1","NA","NA","1245.83","1","1","1",1,,,,,,
"2006","DK",301,"2","2006","13",45786,33861,0,0,,,,,,0,0,0,0,0,0,,0,0,0,11925,"2","2","2","1","1","1","1","1","1","1","1","5","2147.13","3","3","2","1","2","2","1","2","1","1","1","375.75","NA","962.55","1","1","1",1,,,,,,
"2006","DK",306,"2","2006","9",43316,20893,0,0,,,,,,0,0,0,0,0,7,,0,436,0,21987,"2","2","2","1","1","1","1","1","1","1","1","6","2683.92","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","524.52","1","1","1",1,,,,,,
"2006","DK",307,"2","2006","10",54925,36553,0,0,,,,,,0,0,0,1336,0,424,,0,960,0,17411,"2","2","2","1","1","1","1","1","1","3","1","5","2415.52","2","NA","2","2","2","2","1","1","6","2","1","NA","NA","1462.02","1","1","1",1,,,,,,
"2006","DK",314,"2","2006","NA",12694,10668,0,0,,,,,,0,0,0,685,0,-1481,,0,92,0,1934,"2","2","2","1","1","1","1","1","3","1","1","6","2415.52","3","NA","2","2","2","2","3","1","5","2","1","NA","NA","423.95","1","1","1",1,,,,,,
"2006","DK",341,"2","2006","7",17947,14371,0,0,,,,,,0,0,0,0,0,56,,0,0,0,3577,"2","2","2","1","1","1","1","1","1","1","3","6","2683.92","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","421.15","1","1","1",1,,,,,,
"2006","DK",372,"2","2006","9",16499,1874,0,0,,,,,,0,0,0,2771,0,6,,0,248,0,14378,"2","2","2","1","1","1","1","1","3","1","1","5","2683.92","3","NA","2","2","2","2","1","2","3","2","1","NA","NA","460.28","1","1","1",1,,,,,,
"2006","DK",385,"NA","2006","7",27307,8381,0,0,,,,,,0,0,0,0,0,-6,,0,0,0,18926,"2","2","2","1","1","1","1","1","1","1","1","5","2683.92","3","3","2","1","2","2","1","1","3","2","1","NA","NA","731.97","1","1","1",1,,,,,,
"2006","DK",386,"2","2006","7",3225,1080,0,0,,,,,,0,0,0,0,0,-1074,,0,0,0,2145,"2","2","2","1","1","1","1","1","1","1","3","4","NA","3","3","2","2","2","2","2","2","3","2","1","402.59","NA","1068.41","2","1","1",1,,,,,,
"2006","DK",411,"NA","2006","9",29895,27530,0,0,,,,,,0,0,0,4278,0,-152,,0,179,0,2186,"2","2","2","1","1","1","1","1","1","1","1","6","1341.96","3","NA","2","1","2","2","4","1","2","2","1","NA","NA","445.08","1","1","1",1,,,,,,
"2006","DK",456,"2","2006","6",33944,13995,0,0,,,,,,0,0,0,0,0,2,,0,0,0,19950,"2","2","2","1","1","2","1","1","1","3","1","5","2281.33","3","NA","2","2","2","1","2","1","2","2","1","NA","NA","656.35","1","1","1",1,,,,,,
"2006","DK",465,"1","2006","6",10837,5126,0,0,,,,,,0,0,0,0,0,-1327,,0,0,0,5711,"2","2","2","1","1","1","1","1","1","1","1","5","NA","3","3","2","1","2","2","4","2","5","2","1","NA","NA","473.15","1","1","1",1,,,,,,
"2006","DK",519,"NA","2006","7",24810,16942,0,0,,,,,,0,0,0,3645,0,2,,0,382,0,7486,"2","2","2","1","1","1","1","1","1","1","1","5","805.17","3","NA","2","2","2","2","3","1","4","2","1","NA","NA","371.82","1","1","1",1,,,,,,
"2006","DK",526,"2","2006","6",68588,48049,0,0,,,,,,0,0,0,0,0,14,,0,0,0,20539,"2","2","2","1","1","1","1","1","1","1","1","6","1006.47","3","3","2","2","2","2","1","2","3","2","1","NA","NA","1412.27","1","1","1",1,,,,,,
