"DB010","DB020","DB030","DB040","DB062","DB090"
"2007","DK",81,"DK01","NA","1085.731"
"2007","DK",103,"DK01","NA","355.9181"
"2007","DK",137,"DK01","NA","322.2149"
"2007","DK",159,"DK01","NA","330.5074"
"2007","DK",162,"DK01","NA","786.5486"
"2007","DK",183,"DK01","NA","282.2193"
"2007","DK",204,"DK01","NA","589.8276"
"2007","DK",236,"DK01","NA","1175.206"
"2007","DK",240,"DK01","NA","341.7329"
"2007","DK",244,"DK01","NA","1137.277"
"2007","DK",247,"DK01","NA","346.5078"
"2007","DK",248,"DK01","NA","1165.015"
"2007","DK",279,"DK01","NA","965.2994"
"2007","DK",292,"DK01","NA","385.9755"
"2007","DK",300,"DK01","NA","1029.812"
"2007","DK",321,"DK01","NA","1446.469"
"2007","DK",341,"DK01","NA","1258.671"
"2007","DK",364,"DK01","NA","612.2156"
"2007","DK",412,"DK01","NA","1086.19"
"2007","DK",432,"DK01","NA","369.6424"
"2007","DK",444,"DK01","NA","98.64515"
"2007","DK",447,"DK01","NA","353.2839"
"2007","DK",471,"DK01","NA","938.7977"
"2007","DK",539,"DK01","NA","225.8709"
"2007","DK",558,"DK01","NA","358.2012"
"2007","DK",573,"DK01","NA","1149.975"
"2007","DK",577,"DK01","NA","903.1281"
"2007","DK",590,"DK01","NA","972.8809"
"2007","DK",607,"DK01","NA","1129.145"
"2007","DK",613,"DK01","NA","817.9061"
"2007","DK",689,"DK01","NA","388.0088"
"2007","DK",707,"DK01","NA","988.8464"
"2007","DK",741,"DK01","NA","540.5792"
"2007","DK",819,"DK01","NA","1056.384"
"2007","DK",853,"DK01","NA","1625.742"
"2007","DK",854,"DK01","NA","353.5637"
"2007","DK",856,"DK01","NA","292.6889"
"2007","DK",860,"DK01","NA","224.3874"
"2007","DK",864,"DK01","NA","499.4292"
"2007","DK",918,"DK01","NA","976.3773"
"2007","DK",928,"DK01","NA","422.7706"
"2007","DK",955,"DK01","NA","357.2832"
"2007","DK",996,"DK01","NA","902.713"
"2007","DK",1037,"DK01","NA","1075.591"
"2007","DK",1075,"DK01","NA","1323.017"
"2007","DK",1106,"DK01","NA","292.3856"
"2007","DK",1148,"DK01","NA","365.9385"
"2007","DK",1188,"DK01","NA","879.3959"
"2007","DK",1195,"DK01","NA","1250.06"
"2007","DK",1196,"DK01","NA","566.2068"
"2007","DK",1254,"DK01","NA","361.3295"
"2007","DK",1301,"DK01","NA","226.9555"
"2007","DK",1310,"DK01","NA","310.1926"
"2007","DK",1345,"DK01","NA","386.4465"
"2007","DK",1348,"DK01","NA","1126.078"
"2007","DK",1355,"DK01","NA","1258.671"
"2007","DK",1363,"DK01","NA","628.3453"
"2007","DK",1391,"DK01","NA","1348.249"
"2007","DK",1401,"DK01","NA","327.7985"
"2007","DK",1417,"DK01","NA","2100.888"
"2007","DK",1480,"DK01","NA","1154.747"
"2007","DK",1529,"DK01","NA","805.4783"
"2007","DK",1559,"DK01","NA","851.4861"
"2007","DK",1563,"DK01","NA","390.9719"
"2007","DK",1576,"DK01","NA","1859.342"
"2007","DK",1582,"DK01","NA","280.7247"
"2007","DK",1592,"DK01","NA","851.4861"
"2007","DK",1596,"DK01","NA","1078.229"
"2007","DK",1623,"DK01","NA","612.6554"
"2007","DK",1674,"DK01","NA","259.2381"
"2007","DK",1700,"DK01","NA","191.919"
"2007","DK",1706,"DK01","NA","631.3238"
"2007","DK",1716,"DK01","NA","1064.052"
"2007","DK",1745,"DK01","NA","1968.136"
"2007","DK",1780,"DK01","NA","688.3165"
"2007","DK",1827,"DK01","NA","1236.102"
"2007","DK",1838,"DK01","NA","1583.58"
"2007","DK",1931,"DK01","NA","1172.774"
"2007","DK",1932,"DK01","NA","631.3238"
"2007","DK",1967,"DK01","NA","240.6169"
"2007","DK",2014,"DK01","NA","1202.58"
"2007","DK",2020,"DK01","NA","965.2994"
"2007","DK",2032,"DK01","NA","893.2999"
"2007","DK",2057,"DK01","NA","251.6235"
"2007","DK",2074,"DK01","NA","832.7126"
