"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","MH010","MH020","MH030","MH040","MH050","MH060","MH070","MH080","MH090","MH100","MH110","MH120","MH130","MH140","MH150","MH160","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010","HY081N","HY131N","HY081G","HY131G"
"2007","DK",81,"2","2007","6",20252,15986,0,0,,,,,,0,0,0,0,0,2072,,0,150,0,4116,"2","2","2","1","1","1","1","1","1","1","1","5","2413.16","3","3","2","2","2","1","1","1","4","2","1","543.23","NA","501.91","1","1","2","1","2","1","1","1","1","4","3","4","4","4","4","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",103,"1","2007","11",50557,50133,0,0,,,,,,0,0,0,0,0,-284,,0,20,0,404,"2","2","2","1","1","2","1","1","1","1","1","6","NA","2","2","2","2","2","2","1","1","6","2","1","NA","NA","971.15","1","1","2","1","1","NA","1","2","1","3","2","4","4","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",137,"1","2007","11",25683,14899,0,0,,,,,,0,0,0,972,0,619,,0,844,0,9941,"2","2","2","1","1","1","1","1","1","1","1","5","1608.77","3","NA","2","2","2","1","1","1","5","2","1","NA","NA","431.13","1","1","2","1","1","1","1","1","1","4","3","4","2","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",159,"NA","2007","6",68974,62389,0,0,,,,,,0,0,0,0,0,1,,0,0,0,6585,"2","2","2","1","1","1","1","1","1","1","1","5","1005.48","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","1678.63","1","1","2","1","1","1","1","2","1","3","3","1","3","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",162,"1","2007","6",73782,55150,0,0,,,,,,0,0,0,0,7107,17,,0,0,0,18632,"2","2","2","1","1","1","1","1","3","1","1","5","3351.61","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","554.26","1","1","2","1","1","1","1","2","1","4","4","4","4","2","4","4","2","2","1",1,,,,,,,,,,
"2007","DK",183,"2","2007","13",30054,23053,0,0,,,,,,0,0,0,0,0,-6,,0,223,0,6779,"2","2","2","1","1","2","1","1","1","1","1","5","2010.97","3","NA","2","2","2","2","1","1","5","2","1","NA","NA","485.26","1","1","2","1","1","1","2","2","1","3","3","3","3","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",204,"1","2007","7",6284,-12906,0,0,,,,,,0,0,0,0,0,-329,,0,0,0,19190,"2","2","2","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","818.82","1","1","2","1","1","1","1","2","2","4","4","4","2","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",236,"2","2007","6",24905,21644,0,0,,,,,,0,0,0,0,0,803,,0,0,0,3261,"2","2","2","1","1","1","1","1","1","1","1","5","1340.64","3","NA","2","2","2","2","1","1","2","2","1","NA","NA","376.66","1","1","2","1","1","1","1","2","1","4","4","3","3","3","2","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",240,"2","2007","6",40787,18492,0,0,,,,,,0,0,0,0,0,0,,0,0,0,22295,"2","2","2","1","1","1","1","1","1","1","1","6","1005.48","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","918.3","1","1","2","1","1","NA","1","1","1","4","4","3","4","3","2","NA","2","NA","1",1,,,,,,,,,,
"2007","DK",244,"1","2007","NA",21072,16610,0,0,,,,,,0,0,0,1735,0,3378,,0,0,0,4461,"2","2","2","1","1","1","1","1","3","1","1","5","1005.48","3","NA","2","2","2","1","1","1","2","2","1","NA","NA","832.03","1","1","2","1","1","1","2","2","2","4","4","2","3","2","3","NA","2","NA","1",1,,,,,,,,,,
