"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010","PY031G","PL110"
"2007","DK",811,477.076648841355,"NA","1","2007","NA","4",1986,"1","1","1","DK","2","NA","2","1","NA","1","2","NA","NA","7","40","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","NA","7","1","6","NA","6","NA","6","1","1","3","2","NA","NA","NA",1,1,1,0,0,0,5174,0,0,0,,17506,0,0,0,0,675,1,81,"2",20,"1","7.4591",1,"NA"
"2007","DK",1031,477.076648841355,"851.4861","2","2007","NA","1",1974,"1","2","2","DK","2","NA","2","1","NA","NA","NA","NA","3","2","55","12","0","NA","NA","5","NA","2","2","NA","NA","NA","NA","1","1","NA","NA","NA","6","1","1","1","1","6","NA","2","2","2","NA","2","NA",1,1,1,39827,0,0,4901,0,542,0,,10471,0,0,0,0,0,1,103,"3",32,"1","7.4591",1,"b-e"
"2007","DK",1371,477.076648841355,"NA","1","2007","NA","4",1926,"2","4","3","DK","2","NA","2","5","NA","NA","1","NA","3","4","34","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","8","6","NA","NA","6","NA","NA","NA","NA","2","NA","3","NA","NA","2","NA",1,1,1,0,0,0,7379,0,0,0,,21530,0,0,2562,0,0,1,137,"3",80,"3","7.4591",1,"NA"
"2007","DK",1591,477.076648841355,"652.9533","2","2007","NA","1",1969,"1","2","3","Other","2","NA","5","1","NA","1","NA","NA","3","7","37","12","0","NA","NA","11","NA","NA","NA","NA","NA","NA","3","1","1","1","NA","1","1","NA","NA","NA","NA","NA","NA","2","3","2","NA","NA","5",1,1,1,52018,0,0,2703,0,0,0,,16955,0,0,0,0,0,1,159,"3",37,"1","7.4591",1,"NA"
"2007","DK",1621,477.076648841355,"633.8346","1","2007","NA","2",1951,"1","2","2","DK","2","NA","3","1","NA","NA","NA","NA","3","6","45","12","0","NA","NA","NA","NA","NA","2","NA","NA","NA","1","4","1","1","1","NA","1","NA","1","1","NA","1","1","2","NA","NA","NA","NA","NA",1,1,1,66642,0,0,392,0,17,0,,0,0,0,0,0,0,1,162,"2",55,"1","7.4591",1,"NA"
"2007","DK",1831,477.076648841355,"799.675","1","2007","NA","1",1947,"1","5","2","DK","2","NA","3","2","NA","NA","1","NA","NA","3","NA","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","7","1","1","NA","NA","1","NA","NA","NA","NA","7","1","NA","3","2","NA","2","NA",1,1,1,23557,0,0,0,0,0,0,,6503,0,0,0,0,0,1,183,"2",59,"1","7.4591",1,"NA"
"2007","DK",2041,477.076648841355,"1026.42","2","2007","NA","2",1967,"2","2","3","DK","NA","2","3","2","NA","1","2","NA","1","2","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","7","NA","NA","7","8","NA","7","NA","7","NA","7","2","NA","NA","2","NA","2","NA",1,1,1,6388,0,0,755,0,0,0,,225,0,0,0,0,0,1,204,"2",39,"4","7.4591",1,"k"
"2007","DK",2361,477.076648841355,"614.3781","1","2007","NA","1",1948,"2","2","3","DK","2","NA","3","6","NA","NA","2","NA","3","4","NA","12","0","NA","NA","13","NA","NA","NA","NA","NA","NA","1","NA","3","1","NA","1","NA","1","NA","1","5","3","2","2","3","2","NA","NA","NA",1,1,1,0,0,0,4694,1216,0,0,,0,0,0,0,24102,0,1,236,"2",58,"4","7.4591",1,"NA"
"2007","DK",2401,477.076648841355,"NA","2","2007","NA","2",1972,"1","1","3","DK","2","NA","5","1","NA","NA","NA","NA","3","2","50","12","0","NA","NA","NA","1","NA","NA","NA","NA","NA","2","1","NA","1","3","1","NA","1","1","1","1","1","1","NA","2","2","NA","2","NA",1,1,1,32232,0,0,3214,898,1,0,,8259,0,0,296,0,0,1,240,"3",34,"1","7.4591",1,"l-n"
"2007","DK",2441,477.076648841355,"NA","2","2007","NA","3",1935,"2","2","2","DK","2","NA","2","5","NA","1","2","NA","NA","5","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","6","6","6","8","8","8","NA","7","7","2","NA","2","2","2","NA","NA","1",1,1,1,0,0,0,0,5631,0,0,,15824,0,0,0,134,0,1,244,"2",71,"1","7.4591",1,"NA"
