"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2007","DK",811,477.076648841355,"1",1986,"1","1","4","2","NA","5","NA","NA","NA","NA","NA","NA",81,20,21
"2007","DK",1031,477.076648841355,"1",1974,"1","1","4","2","13","5","NA","NA","NA","NA","0","NA",103,32,33
"2007","DK",1371,477.076648841355,"3",1926,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",137,80,80
"2007","DK",1591,477.076648841355,"3",1969,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",159,37,37
"2007","DK",1621,477.076648841355,"2",1951,"1","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",162,55,56
"2007","DK",1831,477.076648841355,"4",1947,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",183,59,60
"2007","DK",2041,477.076648841355,"3",1967,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",204,39,40
"2007","DK",2361,477.076648841355,"2",1948,"2","1","1","3","13","NA","NA","25","0","NA","NA","0",236,58,58
"2007","DK",2401,477.076648841355,"4",1972,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",240,34,34
"2007","DK",2441,477.076648841355,"3",1935,"2","1","4","2","NA","5","NA","NA","NA","NA","NA","NA",244,71,71
"2007","DK",2471,477.076648841355,"3",1984,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",247,22,23
"2007","DK",2481,477.076648841355,"1",1926,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",248,80,80
"2007","DK",2791,477.076648841355,"3",1926,"2","1","3","4","13","3","NA","0","NA","NA","NA","NA",279,80,80
"2007","DK",2921,477.076648841355,"4",1958,"2","1","4","2","13","NA","NA","NA","NA","NA","NA","NA",292,48,49
"2007","DK",3001,477.076648841355,"1",1974,"1","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA",300,32,32
"2007","DK",3211,477.076648841355,"3",1975,"1","1","1","2","13","3","NA","0","NA","NA","NA","NA",321,31,32
"2007","DK",3411,477.076648841355,"2",1978,"1","1","4","3","13","5","NA","NA","NA","0","NA","NA",341,28,29
"2007","DK",3641,477.076648841355,"4",1929,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","0",364,77,78
"2007","DK",4121,477.076648841355,"4",1961,"1","1","4","2","13","NA","NA","NA","NA","NA","NA","NA",412,45,46
"2007","DK",4321,477.076648841355,"4",1964,"1","1","1","2","13","5","NA","NA","NA","NA","NA","0",432,42,43
"2007","DK",4441,477.076648841355,"3",1973,"2","1","3","3","13","NA","NA","NA","NA","0","NA","0",444,33,33
"2007","DK",4471,477.076648841355,"2",1926,"2","1","4","2","13","5","NA","NA","NA","0","NA","0",447,80,80
"2007","DK",4711,477.076648841355,"3",1944,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",471,62,62
"2007","DK",5391,477.076648841355,"4",1944,"1","1","1","3","NA","3","NA","NA","NA","NA","NA","0",539,62,62
"2007","DK",5581,477.076648841355,"4",1983,"1","1","3","2","13","5","NA","NA","NA","NA","0","NA",558,23,23
"2007","DK",5731,477.076648841355,"3",1942,"2","1","4","2","13","3","NA","NA","NA","0","NA","NA",573,64,64
"2007","DK",5771,477.076648841355,"4",1970,"1","1","1","3","13","3","NA","NA","NA","NA","0","NA",577,36,37
"2007","DK",5901,477.076648841355,"3",1970,"1","1","4","4","13","NA","NA","NA","NA","NA","NA","NA",590,36,36
"2007","DK",6071,477.076648841355,"3",1943,"1","1","1","3","13","5","NA","NA","NA","NA","NA","NA",607,63,64
"2007","DK",6131,477.076648841355,"4",1977,"1","1","1","3","13","3","NA","NA","10","NA","NA","NA",613,29,29
"2007","DK",6891,477.076648841355,"3",1973,"2","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",689,33,34
"2007","DK",7071,477.076648841355,"3",1968,"1","1","1","3","13","3","NA","NA","NA","NA","NA","0",707,38,38
"2007","DK",7411,477.076648841355,"4",1973,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",741,33,33
"2007","DK",8191,477.076648841355,"3",1926,"2","1","1","2","13","3","NA","30","0","NA","NA","NA",819,80,80
"2007","DK",8531,477.076648841355,"1",1951,"1","1","1","3","NA","3","NA","NA","NA","0","0","NA",853,55,55
"2007","DK",8541,477.076648841355,"1",1976,"1","1","3","3","13","3","NA","NA","NA","NA","NA","NA",854,30,30
"2007","DK",8561,477.076648841355,"2",1941,"1","1","3","3","13","5","NA","NA","25","NA","0","NA",856,65,65
"2007","DK",8601,477.076648841355,"3",1973,"1","1","4","3","13","3","0","NA","NA","NA","0","NA",860,33,33
"2007","DK",8641,477.076648841355,"2",1943,"1","1","3","2","13","5","NA","NA","0","NA","0","NA",864,63,63
"2007","DK",9181,477.076648841355,"2",1975,"2","1","3","4","13","5","NA","26","10","NA","0","NA",918,31,31
