"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","MI010","MI020","MI025","MI026","MI030","MI040","MI045","MI046","MI050","MI051","MI052","MI053","MI054","MI055","MI056","MI057","MI058","MI060","MI065","MI066","MI075","MI076","MI085","MI086","MI090","MI095","MI100","MI110","MI111","MI112","MI113","MI114","MI120","MI121","MI122","MI123","MI124","MI125","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2008","DK",82,"1","2008","7",37919,23120,0,0,,,,,,,,0,0,0,0,0,,5134,,0,607,0,,14192,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","765.92","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","2","1","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",104,"1","2008","9",26937,21567,0,0,,,,,,,,0,0,0,0,0,,667,,0,0,0,,5370,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","1342.17","3","3","2","2","2","NA","1","1","3","2","1","NA","NA","2240.04","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",139,"1","2008","7",67839,54114,0,0,,,,,,,,0,0,0,3904,0,,120,,0,0,0,,13725,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","1342.17","3","NA","2","2","2","1","1","1","5","2","1","NA","NA","747.86","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","2","2","1","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",161,"1","2008","7",24409,16012,2825,2825,,,,,,,,2825,0,0,0,0,,-859,,0,0,0,,8397,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","3355.43","1","NA","2","2","2","2","1","2","5","2","1","NA","NA","301.99","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",164,"2","2008","7",100559,60397,0,0,,,,,,,,0,0,0,0,0,,9885,,0,0,0,,40162,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","5","2013.26","3","3","2","1","2","2","1","2","6","2","1","NA","NA","490.07","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","2","NA","NA","NA","2","NA","2","1","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",185,"2","2008","10",-40024,-42624,0,0,,,,,,,,0,0,0,0,0,,-63511,,0,0,0,,2600,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","5","1610.61","3","3","2","2","2","2","3","1","3","2","1","NA","NA","856.44","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","2","NA","2","NA","2","1","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","1","NA","NA","2","NA","NA","1",1,,,,,,
"2008","DK",207,"1","2008","13",14414,9648,0,0,,,,,,,,0,0,0,0,0,,-53,,0,0,0,,4766,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","2","5","2013.26","2","NA","2","2","2","2","4","1","4","2","1","308.7","NA","1035.95","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","1","NA","NA","NA","2","2","2","1","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",239,"2","2008","7",44352,11728,0,0,,,,,,,,0,0,0,0,0,,-54,,0,0,0,,32624,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","1639.55","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","1","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",243,"2","2008","4",108690,96943,0,0,,,,,,,,0,0,0,82,0,,17,,0,1311,0,,10436,"NA","3","NA","3","NA","3","1","1","2","1","1","3","3","1","5","3221.22","3","3","2","2","1","1","1","2","3","2","1","NA","NA","1216.24","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","1","1","NA","2","NA","2","NA","NA","NA","2","1","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","DK",247,"1","2008","6",49985,26776,0,0,,,,,,,,0,0,0,0,0,,3273,,0,436,0,,22773,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","1006.63","3","NA","2","1","2","2","1","1","5","2","1","NA","NA","722.58","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","1","NA","NA","NA","NA","NA","2","7","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
