"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PY021G","PY030G","PX020","PX050","PX010","PL110","PL111"
"2008","DK",821,499.090350338045,"NA","1","2008","NA","3",1960,"1","5","1","DK","2","NA","5","1","NA","NA","2","NA","NA","2","32","0","0","NA","NA","13","NA","2","2","NA","NA","NA","1","NA","1","NA","NA","6","8","NA","2","NA","2","NA","2","2","NA","2","NA","NA","NA",1,1,1,0,0,1,0,32786,0,,0,0,0,0,0,0,1,82,"2",0,0,47,"6","7.4506","","g"
"2008","DK",1041,499.090350338045,"NA","2","2008","NA","2",1986,"1","1","3","DK","2","NA","2","NA","NA","NA","NA","NA","3",,"NA","0","0","12","NA","NA","NA","2","2","NA","NA","NA","NA","2","1","2","1","NA","1","8","1","NA","1","6","1","1","3","NA","NA","2","NA",1,1,1,26270,0,1,0,0,0,,0,0,0,0,0,0,1,104,"3",0,0,21,"1","7.4506","","NA"
"2008","DK",1391,499.090350338045,"733.6744","1","2008","NA","1",1948,"2","2","1","DK","2","NA","5","1","NA","NA","NA","NA","3","3","37","12","0","NA","NA","NA","1","2","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1","3","NA","1","NA","NA","1","2","NA","2","NA","2","NA",1,1,1,63802,0,1,0,12,0,,0,0,0,0,0,0,1,139,"3",0,0,59,"6","7.4506","g","q"
"2008","DK",1611,499.090350338045,"NA","2","2008","NA","4",1974,"1","1","1","DK","2","NA","5","1","NA","1","2","NA","NA","5","NA","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","6","8","NA","6","8","6","NA","6","7","6","2","2","1","3","NA","NA","2","NA",1,1,1,22443,0,1,0,0,0,,0,0,0,0,0,0,1,161,"2",0,0,33,"5","7.4506","m","o"
"2008","DK",1641,499.090350338045,"442.5089","2","2008","NA","3",1961,"1","2","2","DK","2","NA","3","1","NA","NA","NA","NA","1","0 - 1","37","12","0","NA","NA","13","1","2","NA","NA","NA","NA","NA","1","1","6","1","1","3","NA","1","1","NA","1","NA","NA","3","2","NA","NA","NA",1,1,1,90674,0,1,5288,0,0,,0,0,0,0,0,0,1,164,"2",0,0,46,"6","7.4506","c+d+e","g"
"2008","DK",1851,499.090350338045,"NA","1","2008","NA","2",1927,"2","4","3","DK","2","NA","2","5","NA","1","2","NA","NA",,"NA","0","0","NA","NA","NA","1","NA","2","NA","NA","NA","6","6","6","NA","7","NA","1","7","NA","6","6","6","5","1","2","2","NA","NA","NA",1,1,1,0,0,1,0,0,0,,0,23486,0,0,0,0,1,185,"2",0,0,80,"6","7.4506","","NA"
"2008","DK",2071,499.090350338045,"664.1842","1","2008","NA","2",1981,"1","1","1","DK","2","NA","5","4","NA","NA","NA","NA","2",,"37","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","2","1","1","2","NA","2","NA","2","NA",1,1,1,14467,0,1,0,0,0,,0,0,0,0,0,0,1,207,"3",0,1378,26,"7","7.4506","","NA"
"2008","DK",2391,499.090350338045,"NA","2","2008","NA","4",1945,"2","2","2","DK","2","NA","5","1","NA","NA","NA","NA","3","3","40","0","0","NA","NA","NA","NA","2","2","NA","NA","NA","1","1","1","NA","NA","NA","2","NA","NA","NA","NA","1","1","NA","NA","NA","NA","2","NA",1,1,1,44406,0,1,138,0,0,,0,0,0,0,0,0,1,239,"3",0,0,62,"6","7.4506","","b-e"
"2008","DK",2431,499.090350338045,"1146.445","2","2008","NA","3",1972,"1","1","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","32","12","0","NA","NA","2","1","2","NA","NA","NA","NA","3","1","NA","1","NA","1","6","1","1","1","1","3","2","NA","1","NA","NA","2","NA",1,1,1,107611,0,1,0,0,0,,0,0,0,980,0,0,1,243,"2",0,4856,35,"6","7.4506","n","r-u"
"2008","DK",2471,499.090350338045,"699.184","1","2008","NA","2",1963,"1","5","3","DK","2","NA","3","1","NA","NA","NA","NA","3","2","32","12","0","NA","NA","NA","NA","2","2","NA","NA","NA","2","1","NA","1","1","NA","NA","2","NA","1","1","NA","3","2","3","NA","NA","2","NA",1,1,1,46712,0,1,0,0,0,,0,0,0,0,0,0,1,247,"2",0,0,44,"7","7.4506","n","o"
