"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","DK",85,"1","2009","NA",29661,23965,0,0,,,,,,,,0,0,0,6860,0,,651,,0,297,0,,5399,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","938.84","2","NA","2","2","NA","NA","4","1","NA","2","1","603.54","NA","2097.45","1","NA","1","NA","1","2","NA","2","NA","4","1","4","3","1","1","1","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",107,"1","2009","10",39439,30995,0,0,,,,,,,,0,0,0,2331,0,,-121,,0,0,0,,8444,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","1","3","4023.61","3","NA","2","1","2","2","3","1","5","2","1","NA","NA","975.88","1","NA","1","NA","1","2","NA","2","NA","4","4","4","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",142,"NA","2009","8",22650,19641,0,0,,,,,,,,0,0,0,50,0,,-30,,0,0,0,,3009,"NA","NA","2","NA","2","NA","1","1","1","1","1","3","1","1","1","938.84","3","3","2","2","2","2","2","1","3","2","1","885.19","NA","759.37","1","NA","1","NA","1","2","NA","1","NA","4","3","4","4","1","1","NA","NA","1","NA","NA","3","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",165,"2","2009","17",12322,-10333,0,0,,,,,,,,0,0,0,0,0,,-1662,,0,0,0,,22655,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","1341.2","3","NA","2","2","2","1","1","1","3","2","1","NA","NA","585.03","1","NA","1","NA","1","2","NA","2","NA","4","4","4","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",169,"2","2009","9",23537,20889,0,0,,,,,,,,0,0,0,0,0,,1295,,0,0,0,,2649,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","5","2414.16","2","NA","2","2","2","1","4","1","5","2","1","NA","NA","677.4","1","NA","1","NA","1","2","NA","2","NA","4","4","4","4","1","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",190,"1","2009","12",69023,48038,0,0,,,,,,,,0,0,0,0,0,,25,,0,0,0,,20985,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","1","3","4694.21","3","NA","2","2","2","2","2","1","4","2","1","NA","NA","735.77","1","NA","1","NA","1","2","NA","2","NA","4","4","4","4","1","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",212,"2","2009","NA",61626,37024,0,0,,,,,,,,0,0,0,0,0,,-206,,0,0,0,,24602,"2","NA","2","NA","2","NA","1","1","1","1","3","1","1","1","5","2011.8","2","NA","2","2","2","2","1","2","3","2","1","NA","NA","929.77","1","NA","1","NA","1","2","7","2","NA","4","4","4","4","1","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",245,"2","2009","10",9688,9222,0,0,,,,,,,,0,0,0,0,0,,4690,,0,0,0,,466,"2","NA","2","NA","2","NA","1","1","1","1","1","3","1","1","6","2414.16","1","NA","2","2","2","2","4","2","2","2","1","724.25","NA","605.9","1","NA","1","NA","1","2","NA","1","NA","3","4","4","2","1","3","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",249,"2","2009","10",44972,29740,0,0,,,,,,,,0,0,0,0,0,,-915,,0,786,0,,14446,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","3","2011.8","2","2","2","2","2","2","1","2","6","2","1","NA","NA","989.53","1","NA","1","NA","1","2","NA","2","NA","4","4","4","3","1","1","1","1","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","DK",254,"2","2009","5",64095,45210,0,0,,,,,,,,0,0,0,0,0,,379,,0,0,0,,18884,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","5","1072.96","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","728.31","1","NA","1","NA","1","2","NA","1","NA","4","4","4","3","1","1","NA","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
