"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD010","PD020","PD030","PD040","PD050","PD060","PD070","PX030","PX040","PL031","pl070","pl070_f","pl072","pl072_f","PX020","PX050","PX010","PL110","PL111"
"2009","DK",851,505.861650485437,"767.8511","NA","2009","NA","1",1943,"1","5","3","DK","1","NA","2","NA","NA","1","2","1","3","7","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","NA","NA","2","NA",1,1,1,0,0,0,4916,1,0,0,0,,0,22150,0,0,0,0,1,"1","NA","1","1","1","3","1",85,"3","7",,,,,65,"3","7.456",,"NA"
"2009","DK",1071,505.861650485437,"937.9312","1","2009","NA","4",1928,"2","4","3","DK","2","NA","NA","NA","NA","NA","NA","NA","3","5","30","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA",1,1,1,0,0,0,0,1,402,0,0,,0,37230,0,0,0,0,1,"NA","1","NA","NA","1","NA","1",107,"2","7",,,,,80,"6","7.456",,"NA"
"2009","DK",1421,505.861650485437,"1105.142","1","2009","NA","3",1968,"2","2","3","EU","2","NA","2","NA","NA","1","2","NA","3","9","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA",1,1,1,20731,0,0,5310,1,0,0,0,,1899,0,0,0,0,0,1,"1","NA","1","4","1","NA","1",142,"3","5",,,,,40,"6","7.456",,"NA"
"2009","DK",1651,505.861650485437,"565.1077","2","2009","NA","2",1948,"2","2","1","DK","1","NA","3","NA","NA","2","NA","NA","1","5","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA",1,1,1,13983,0,0,47586,1,0,0,0,,0,0,0,0,0,0,1,"1","3","NA","2","1","3","1",165,"2","2",,,,,60,"2","7.456",,"q"
"2009","DK",1691,505.861650485437,"NA","1","2009","NA","2",1934,"2","5","2","DK","1","NA","5","NA","NA","NA","2","NA","3","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","2","2","NA","2","NA",1,1,1,0,0,0,392,1,0,0,0,,0,22243,0,0,0,0,1,"1","3","1","2","1","1","1",169,"3","7",,,,,74,"2","7.456",,"NA"
"2009","DK",1901,505.861650485437,"692.9255","1","2009","NA","3",1972,"1","1","1","DK","2","NA","5","NA","NA","NA","NA","NA","3","2","30","3","NA","3","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",1,1,1,68997,0,0,0,1,5969,0,0,,0,0,0,0,0,0,1,"NA","NA","1","1","1","NA","2",190,"3","1",,,,,36,"2","7.456",,"j"
"2009","DK",2121,505.861650485437,"803.8558","2","2009","NA","2",1970,"1","1","3","DK","2","NA","5","NA","NA","NA","NA","NA","3","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA",1,1,1,61833,0,0,4869,1,322,0,0,,0,0,0,0,0,0,1,"NA","1","1","NA","NA","NA","NA",212,"3","1",,,,,38,"7","7.456",,"f"
"2009","DK",2451,505.861650485437,"NA","2","2009","NA","3",1985,"2","1","1","DK","1","NA","3","NA","NA","2","NA","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","2","NA",1,1,1,2729,0,0,490,1,0,0,0,,0,0,0,0,0,2269,1,"NA","NA","1","2","1","1","1",245,"2","6",,,,,23,"2","7.456",,"NA"
"2009","DK",2491,505.861650485437,"1146.494","2","2009","NA","4",1930,"2","2","1","DK","2","NA","5","NA","NA","NA","NA","NA","3","3","37","NA","NA","8","1","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","2","8",1,1,1,0,0,0,0,1,161,0,0,,0,45887,0,0,0,0,1,"NA","1","1","NA","1","3","NA",249,"2","7",,,,,78,"6","7.456",,"NA"
"2009","DK",2541,505.861650485437,"NA","2","2009","NA","1",1943,"1","2","1","DK","2","NA","2","NA","NA","NA","NA","NA","3","0 - 1","50","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","NA","NA",1,1,1,63716,0,0,11,1,0,0,0,,0,0,0,0,0,0,1,"1","NA","1","2","NA","3","1",254,"3","1",,,,,65,"2","7.456",,"b-e"
"2009","DK",2571,505.861650485437,"794.3451","2","2009","NA","1",1975,"1","1","1","DK","2","NA","2","NA","NA","NA","NA","NA","3","5","37","NA","NA","11","1","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,1,56688,0,0,294,1,0,0,0,,0,0,0,0,0,0,1,"1","1","1","3","1","3","NA",257,"3","1",,,,,33,"6","7.456",,"g"
"2009","DK",2581,505.861650485437,"638.7025","2","2009","NA","1",1964,"2","1","1","DK","2","NA","2","NA","NA","NA","2","NA","3","4","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA",1,1,1,39339,0,0,4218,1,0,344,0,,0,0,0,0,0,0,1,"1","1","1","1","1","NA","NA",258,"2","2",,,,,44,"2","7.456",,"o"
"2009","DK",2901,505.861650485437,"621.1525","2","2009","NA","1",1928,"2","4","1","DK","2","5","2","NA","NA","NA","2","NA","3","7","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","3","2","NA","2","NA",1,1,1,0,0,0,18096,1,1750,2906,0,,0,22229,0,0,0,0,1,"NA","NA","NA","4","1","1","1",290,"2","7",,,,,80,"2","7.456",,"NA"
"2009","DK",3031,505.861650485437,"1118.126","2","2009","NA","2",1963,"1","1","1","DK","2","NA","5","NA","NA","NA","NA","NA","3","3","30","NA","NA","7","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","2","NA","2","NA",1,1,1,35453,0,0,391,1,0,0,0,,0,0,0,0,0,0,1,"1","1","NA","3","1","2","NA",303,"2","2",,,,,45,"2","7.456",,"b-e"
"2009","DK",3111,505.861650485437,"NA","2","2009","NA","4",1946,"2","5","3","DK","2","NA","5","NA","NA","NA","2","NA","2",,"37","NA","NA","12","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","2","NA","2","NA","NA","NA",1,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,26414,0,1,"NA","NA","1","2","1","1","1",311,"3","8",,,,,62,"2","7.456",,"NA"
"2009","DK",3331,505.861650485437,"NA","1","2009","NA","4",1958,"2","2","1","EU","2","NA","3","NA","NA","NA","NA","NA","3","4","37","NA","NA","1","1","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","NA","NA",1,1,1,49015,0,0,5863,1,0,0,0,,0,0,0,0,0,0,1,"1","1","NA","2","1","1","1",333,"2","2",,,,,50,"2","7.456",,"h"
"2009","DK",3541,505.861650485437,"1031.155","1","2009","NA","3",1944,"2","1","3","DK","2","NA","5","NA","NA","1","NA","1","3","2","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","2","NA",1,1,1,0,0,0,174,1,0,0,0,,0,47379,0,0,0,0,1,"1","NA","NA","2","NA","2","1",354,"3","7",,,,,64,"2","7.456",,"NA"
"2009","DK",3781,505.861650485437,"NA","2","2009","NA","3",1959,"2","2","3","DK","2","NA","5","NA","NA","NA","NA","NA","3","5","37","NA","NA","13","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA",1,1,1,48450,0,0,3975,1,0,0,0,,0,0,0,0,0,0,1,"1","1","NA","2","1","NA","1",378,"3","1",,,,,49,"2","7.456",,"r-u"
"2009","DK",4281,505.861650485437,"1417.468","2","2009","NA","2",1978,"1","1","3","DK","2","NA","5","NA","NA","NA","NA","NA","3",,"37","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","2","NA",1,1,1,26618,0,0,104,1,0,0,0,,0,0,0,0,0,0,1,"1","1","NA","NA","NA","1","NA",428,"2","6",,,,,30,"2","7.456",,"NA"
"2009","DK",4491,505.861650485437,"NA","1","2009","NA","4",1983,"2","1","3","DK","2","NA","2","NA","NA","1","2","NA","3","5","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","2","NA",1,1,1,22225,0,0,415,1,335,0,0,,0,0,2209,0,0,0,1,"1","1","1","5","1","NA","NA",449,"2","2",,,,,25,"6","7.456",,"q"
"2009","DK",4621,505.861650485437,"621.9419","2","2009","NA","3",1939,"1","2","2","DK","2","NA","5","NA","NA","1","NA","NA","3",,"15","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","1",1,1,1,0,0,0,0,1,0,0,0,,0,18503,0,0,0,0,1,"1","2","NA","NA","NA","NA","1",462,"2","7",,,,,69,"2","7.456",,"NA"
"2009","DK",4651,505.861650485437,"1409.78","2","2009","NA","3",1961,"1","1","3","DK","2","NA","5","NA","NA","1","NA","NA","2","0 - 1","37","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","NA","NA",1,1,1,40171,409,0,4681,1,0,0,0,,425,0,0,0,0,0,1,"NA","NA","1","NA","NA","NA","1",465,"2","1",,,,,47,"7","7.456",,"NA"
"2009","DK",4901,505.861650485437,"1173.772","2","2009","NA","3",1944,"2","5","2","DK","1","NA","NA","NA","NA","1","2","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","1","2","NA","2","NA",1,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,21239,0,1,"1","NA","1","3","1","1","1",490,"3","4",,,,,64,"2","7.456",,"NA"
"2009","DK",5601,505.861650485437,"NA","2","2009","NA","2",1937,"2","2","1","DK","2","NA","3","NA","NA","1","NA","NA","3","4","NA","NA","NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","1","NA","NA","1","NA",1,1,1,0,0,0,0,1,0,0,0,,0,17013,0,0,0,0,1,"NA","NA","1","2","3","1","1",560,"2","7",,,,,71,"2","7.456",,"NA"
"2009","DK",5801,505.861650485437,"1483.21","2","2009","NA","1",1948,"2","4","1","DK","2","NA","3","NA","NA","NA","NA","NA","3","0 - 1","65","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","2","NA",1,1,1,61542,0,0,78,1,18777,0,0,,0,0,0,0,0,0,1,"NA","NA","3","1","1","NA","1",580,"3","1",,,,,60,"2","7.456",,"NA"
"2009","DK",5961,505.861650485437,"1236.585","2","2009","NA","1",1987,"1","1","1","DK","2","5","3","NA","NA","NA","NA","NA","2",,"NA","15","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA","2","NA",1,1,1,24036,0,0,137,1,5740,0,0,,0,0,0,0,0,0,1,"1","NA","1","2","NA","1","2",596,"3","6",,,,,21,"6","7.456",,"NA"
"2009","DK",6001,505.861650485437,"467.672","2","2009","NA","3",1943,"2","5","1","DK","2","NA","2","NA","NA","NA","NA","NA","2","9","37","37","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",1,1,1,43236,0,0,0,1,0,0,0,,0,0,4449,0,0,0,1,"1","1","1","NA","NA","3","1",600,"2","2",,,,,65,"2","7.456",,"q"
