"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH080","HH081","HH090","HH091","HA010","HA020","HA030","HA040","HA050","HA060","HA070","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010","R_HA030","R_HA040","R_HA050","R_HA060","R_HA070"
"2010","DK",85,"2","2010","11",14501,6249,0,0,,,,,,,,,0,0,0,0,0,,448,,0,1,1788,,6463,,"NA","3","NA","3","NA","3","1","1","1","1","1","3","1","1","4","1342.97","1","NA","2","2","2","2","1","NA","1","2","2","1","NA","NA","1440.22","NA","1","NA","1","NA","3","1","837801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",107,"1","2010","NA",26379,19707,0,0,,,,,,,,,0,0,0,0,0,,-3502,,0,545,0,,6128,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","1611.56","3","NA","2","2","2","1","1","NA","2","4","2","1","590.91","NA","1025.97","NA","1","NA","1","NA","1","1","611302","611301","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",142,"1","2010","11",13068,8085,0,0,,,,,,,,,0,0,0,3688,0,,1178,,0,0,0,,4983,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","2","4","1342.97","3","NA","2","1","2","2","4","NA","3","3","2","1","2014.45","NA","334.29","NA","1","NA","1","NA","NA","NA","NA","52302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",165,"1","2010","9",17607,-2750,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1172,2613,,16572,,"NA","3","NA","3","NA","3","1","2","1","1","1","1","1","1","6","1611.56","2","NA","2","1","2","1","1","NA","1","2","2","1","NA","NA","552.36","NA","1","NA","1","NA","NA","NA","1100102","1098602","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",169,"2","2010","NA",53015,46225,0,0,,,,,,,,,0,0,0,0,0,,-356,,0,1970,0,,4819,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","2014.45","3","NA","1","2","2","2","NA","NA","1","5","2","1","NA","NA","1460.53","NA","1","NA","1","NA","2","NA","741201","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",190,"NA","2010","11",61908,45101,0,0,,,,,,,,,0,0,0,0,0,,5972,,0,0,0,,16807,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","3223.12","3","NA","2","2","2","2","1","NA","2","5","1","1","NA","NA","998.28","NA","1","NA","1","NA","1","1","453102","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",212,"1","2010","8",34254,25498,0,0,,,,,,,,,0,0,0,0,0,,93,,0,0,0,,8756,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","6","4700.38","3","NA","2","2","2","2","1","NA","2","6","2","1","NA","NA","1093.64","NA","1","NA","1","NA","1","NA","1095902","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",245,"1","2010","14",37111,19805,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1246,0,,16060,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","5","4700.38","3","NA","2","2","2","2","1","NA","3","5","2","1","NA","NA","2127.11","NA","1","NA","1","NA","NA","NA","702801","450002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",249,"2","2010","4",51725,28975,0,0,,,,,,,,,0,0,0,0,0,,12,,0,1455,0,,21294,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","3","6","1074.37","3","NA","2","2","2","1","4","NA","1","6","2","1","384.36","NA","749.81","NA","1","NA","1","NA","2","1","611302","1098602","NA","NA","NA","1",1,,,,,,,,,,,
"2010","DK",250,"1","2010","15",66413,41970,0,0,,,,,,,,,0,0,0,1683,0,,-341,,0,0,0,,24444,,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","2014.45","3","NA","2","2","1","2","4","NA","1","3","2","1","NA","NA","1460.53","NA","1","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
