"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","DK",83,"1","2011","7",28237,27333,0,0,,,,,,,,,0,0,0,1802,0,,0,,0,73,0,,832,,"3","3","3","1","1","2","1","1","1","1","1","4","939.94","3","NA","2","2","2","2","1","2","6","1","1","NA","NA","1006.64","NA","1","1",,"1",1,,,,,
"2011","DK",105,"1","2011","8",146962,136241,0,0,,,,,,,,,0,0,0,0,0,,1093,,0,0,0,,10721,,"3","3","NA","1","1","1","1","1","1","1","1","4","1007.08","3","NA","2","1","2","1","1","3","6","2","1","NA","NA","1248.45","NA","1","1",,"1",1,,,,,
"2011","DK",139,"1","2011","8",12754,4446,0,0,,,,,,,,,0,0,0,219,0,,81,,0,0,0,,8308,,"3","3","3","1","1","2","1","1","1","1","1","5","1879.88","1","3","2","2","2","2","2","1","5","2","1","NA","NA","644.1","NA","1","1",,"1",1,,,,,
"2011","DK",162,"2","2011","11",22330,11793,0,0,,,,,,,,,0,0,0,0,0,,87,,0,0,1523,,9015,,"3","3","3","1","1","1","1","1","3","1","1","6","2014.15","3","NA","2","2","2","2","1","1","4","2","1","644.53","NA","561.93","NA","1","1",,"1",1,,,,,
"2011","DK",165,"2","2011","8",29414,16988,0,0,,,,,,,,,0,0,0,0,0,,-65,,0,0,0,,12426,,"3","3","3","1","1","2","1","1","1","3","1","6","NA","3","NA","2","2","1","1","1","3","2","2","1","NA","NA","901.57","NA","1","1",,"1",1,,,,,
"2011","DK",186,"1","2011","7",18509,7767,0,0,,,,,,,,,0,0,0,4057,0,,0,,0,1362,0,,9381,,"3","3","NA","1","1","1","1","1","1","1","3","6","1007.08","3","NA","2","1","2","2","4","2","6","2","1","NA","NA","1083.16","NA","1","1",,"1",1,,,,,
"2011","DK",208,"1","2011","10",23899,7141,0,0,,,,,,,,,0,0,0,0,0,,-24125,,0,1523,0,,15236,,"3","3","3","1","1","1","1","1","1","1","1","6","3356.92","3","2","2","2","2","2","1","2","6","2","1","NA","NA","1248.45","NA","1","1",,"1",1,,,,,
"2011","DK",244,"2","2011","8",36112,14525,0,0,,,,,,,,,0,0,0,950,0,,31,,0,0,0,,21587,,"3","3","3","1","1","1","1","1","1","1","1","6","1745.6","3","NA","2","1","2","2","4","2","2","2","1","469.97","NA","637.38","NA","1","1",,"1",1,,,,,
"2011","DK",252,"1","2011","18",81939,69119,0,0,,,,,,,,,0,0,0,0,0,,2545,,0,0,0,,12820,,"3","3","3","1","1","1","1","1","1","1","1","3","2685.54","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","1102.92","NA","1","1",,"1",1,,,,,
"2011","DK",253,"1","2011","9",40863,4529,0,0,,,,,,,,,0,0,0,0,0,,-4477,,0,0,0,,36334,,"NA","3","3","1","1","1","1","1","1","1","1","6","1007.08","3","NA","2","2","2","2","4","3","4","2","1","NA","NA","2723.44","NA","1","1",,"1",1,,,,,
