"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL050","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PT005","PT010","PT020","PT030","PT040","PT050","PT060","PT070","PT080","PT090","PT100","PT110","PT120","PT130","PT140","PT150","PT160","PT170","PT180","PT190","PT200","PT210"
"2011","DK",831,565.59169550173,"NA","1","2011","NA","2",1986,"2","1","3","DK","2","NA","2","2","NA","NA","2","NA","3","61","5","37","NA","NA","NA","NA","1","2","1","NA","NA","NA","1","NA","NA","2","NA","2","NA",1,1,14991,0,0,435,1,0,0,,1614,0,0,0,0,9830,1,"7.4473",24,83,"2","2","NA","2","NA","NA","NA","NA","NA","NA","NA","1","3","3","NA","1","NA","6","1","NA","1","6","4","NA"
"2011","DK",1051,565.59169550173,"1212.805","NA","2011","NA","1",1969,"1","2","1","DK","2","5","3","1","NA","NA","NA","NA","3","12","3","37","2","r-u","NA","NA","1","2","NA","NA","NA","NA","1","2","3","2","NA","2","NA",1,1,145045,1300,0,399,1,1241,0,,823,0,0,0,0,0,1,"7.4473",41,105,"2","2","NA","1","3","NA","1","1941","1","NA","NA","1","1","NA","NA","NA","NA","2","1","NA","5","4","NA","1"
"2011","DK",1391,565.59169550173,"484.5132","2","2011","NA","2",1988,"1","1","3","DK","1","3","3","1","NA","1","NA","NA","3","NA","3","NA","NA","g","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","2","NA",1,1,12416,0,0,249,1,0,0,,38,0,0,0,0,0,1,"7.4473",22,139,"2","NA","NA","NA","2","NA","2","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","5","5","1"
"2011","DK",1621,565.59169550173,"NA","2","2011","NA","1",1930,"2","4","3","DK","2","3","2","7","NA","1","NA","1","3","72","4","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,,137,22106,0,0,0,0,1,"7.4473",80,162,"3","7","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"2011","DK",1651,565.59169550173,"681.1757","1","2011","NA","4",1984,"2","1","1","DK","2","NA","3","6","NA","NA","1","NA","3","33",,"35","NA","NA","NA","NA","NA","2","1","NA","NA","NA","4","2","3","2","NA","2","NA",1,1,10468,0,0,555,1,322,150,,1497,0,0,0,0,17364,1,"7.4473",26,165,"2","6","NA","NA","2","3","NA","NA","1","1","1954","NA","1","NA","NA","1","NA","7","5","NA","NA","4","NA","NA"
"2011","DK",1861,565.59169550173,"1000.978","NA","2011","NA","2",1941,"2","2","3","DK","2","NA","3","7","NA","1","NA","NA","NA","23","4","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","NA","2","NA","NA","2","NA",1,1,0,0,0,0,1,0,0,,83,14369,0,0,0,0,1,"7.4473",69,186,"2","3","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","1","3","NA","NA","NA","7","NA","NA","NA","NA","NA","NA"
"2011","DK",2081,565.59169550173,"NA","1","2011","NA","3",1985,"1","1","1","DK","2","NA","5","1","NA","NA","NA","NA","2","24","2","37","NA","NA","NA","11","1","NA","2","NA","NA","NA","NA","2","3","2","NA","2","NA",1,1,46026,0,0,0,1,0,0,,1999,0,0,0,0,0,1,"7.4473",25,208,"2","2","NA","NA","2","1","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA","1","NA","NA","6","NA","2"
"2011","DK",2441,565.59169550173,"1206.488","2","2011","NA","3",1944,"2","2","3","DK","2","NA","5","7","NA","NA","NA","NA","NA","71","0 - 1","NA","NA","NA","NA","NA","1","2","2","NA","NA","NA","NA","NA","NA","2","2","2","1",1,1,0,0,0,822,1,0,7159,,246,27727,0,0,0,0,1,"7.4473",66,244,"2","7","NA","1","NA","3","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA","5","NA","NA","NA"
"2011","DK",2521,565.59169550173,"626.6848","2","2011","NA","1",1978,"2","1","1","DK","2","NA","5","1","NA","1","NA","NA","3","34","2","37","NA","p","NA","12","1","1","2","1","NA","NA","2","1","2","2","NA","NA","NA",1,1,83393,247,0,435,1,0,-3998,,0,0,0,0,0,0,1,"7.4473",32,252,"2","2","NA","1","NA","1","NA","1945","1","1","NA","4","1","NA","1","1","NA","7","1","NA","6","4","5","NA"
"2011","DK",2531,565.59169550173,"NA","2","2011","NA","4",1956,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","NA","5","NA","NA","q","NA","9","1","NA","2","NA","NA","NA","2","NA","NA","2","NA","2","NA",1,1,45340,0,0,755,1,0,0,,0,0,0,0,0,0,1,"7.4473",54,253,"2","6","NA","1","NA","1","2","NA","NA","1","NA","1","NA","NA","2","1","2","NA","1","NA","NA","NA","NA","2"
"2011","DK",2841,565.59169550173,"3026.691","1","2011","NA","4",1930,"2","2","1","DK","2","NA","5","7","NA","1","2","NA","3","93","4","40","NA","NA","NA","NA","1","2","NA","NA","NA","NA","4","NA","NA","NA","2","2","NA",1,1,0,0,0,0,1,0,0,,191,21994,0,0,0,0,1,"7.4473",80,284,"2","2","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA"
"2011","DK",2971,565.59169550173,"NA","2","2011","NA","2",1973,"2","2","3","DK","2","NA","3","1","NA","NA","NA","NA","3","NA","4","37","NA","q","NA","NA","1","NA","2","NA","NA","NA","2","2","NA","NA","NA","2","NA",1,1,41366,0,0,435,1,6177,0,,205,0,0,0,0,0,1,"7.4473",37,297,"2","7","NA","1","NA","1","2","1950","1","1","1950","NA","1","NA","NA","NA","NA","5","5","NA","NA","4","4","NA"
"2011","DK",3051,565.59169550173,"485.9897","1","2011","NA","3",1980,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","NA","34","6","70","NA","a","NA","12","NA","NA","2","NA","NA","NA","2","1","3","NA","NA","NA","NA",1,1,54196,0,0,0,1,85,468,,221,0,0,0,0,0,1,"7.4473",30,305,"2","5","NA","1","NA","NA","NA","NA","1","1","1937","NA","1","NA","NA","NA","NA","1","NA","2","5","NA","NA","NA"
"2011","DK",3271,565.59169550173,"967.9372","2","2011","NA","1",1987,"1","1","1","DK","2","NA","3","1","NA","2","NA","NA","2","41","8","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","4","1","1","2","NA","NA","NA",1,1,13686,0,0,639,1,0,0,,406,0,0,0,0,5012,1,"7.4473",23,327,"2","6","NA","1","2","NA","NA","1952","NA","NA","NA","NA","1","3","NA","NA","NA","7","NA","NA","NA","NA","NA","NA"
