"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","DK",84,"2","2012","NA",55820,48945,0,0,,,,,,,,,0,0,0,6320,0,,-2057,,0,0,0,,6876,,"3","3","3","2","1","1","1","1","1","1","1","5","1342.17","3","NA","2","2","2","1","4","1","6","2","1","NA","NA","640.58","NA","1","1",,"1",1,,,,,,"1","204","1","1","1","1","1","4","4","4","3","4","4","NA","3","NA"
"2012","DK",106,"1","2012","6",53439,47447,0,0,,,,,,,,,0,0,0,0,0,,-29,,0,0,0,,5992,,"3","3","3","1","1","1","1","1","1","1","3","4","NA","2","NA","2","2","2","1","1","3","3","2","1","442.92","NA","416.59","NA","3","1",,"1",1,,,,,,"2","74","1","1","1","1","1","2","3","3","3","2","3","NA","3","NA"
"2012","DK",141,"1","2012","14",45411,22588,0,0,,,,,,,,,0,0,0,0,0,,96,,0,0,0,,22823,,"3","3","NA","1","1","1","1","1","1","1","3","4","5368.7","3","3","2","2","2","2","1","2","5","1","1","NA","NA","179.21","NA","1","1",,"1",1,,,,,,"2","68","1","1","2","2","1","1","4","4","4","4","3","NA","3","NA"
"2012","DK",164,"1","2012","NA",28613,7547,0,0,,,,,,,,,0,0,0,0,0,,485,,0,0,0,,21066,,"3","3","NA","1","1","1","1","1","1","1","1","5","1073.74","3","NA","2","2","2","2","4","3","6","2","1","NA","NA","2079.85","NA","1","1",,"1",1,,,,,,"1","204","1","1","2","1","1","1","4","4","3","3","3","NA","3","NA"
"2012","DK",167,"1","2012","12",73746,62020,0,0,,,,,,,,,0,0,0,0,0,,4144,,0,0,0,,11726,,"3","3","NA","1","1","1","1","1","1","1","1","3","1073.74","3","NA","2","2","2","1","1","3","4","2","1","NA","NA","179.21","NA","1","1",,"1",1,,,,,,"1","68","1","1","1","1","1","4","4","4","3","3","3","NA","3","NA"
"2012","DK",189,"1","2012","NA",54035,51069,0,0,,,,,,,,,0,0,0,0,0,,900,,0,0,0,,2966,,"NA","3","3","1","1","1","1","1","1","1","1","4","1006.63","3","NA","2","2","1","2","1","1","4","1","1","NA","NA","1121.83","NA","1","1",,"1",1,,,,,,"2","46","1","1","1","1","1","1","2","3","2","3","4","NA","3","NA"
"2012","DK",211,"1","2012","8",56464,32448,0,0,,,,,,,,,0,0,0,3866,0,,-6,,0,0,0,,24016,,"3","3","3","1","1","2","1","1","1","1","1","6","469.76","3","NA","2","2","2","1","1","1","4","2","1","NA","NA","741.15","NA","1","1",,"1",1,,,,,,"2","88","1","1","1","1","1","3","4","4","3","2","4","2","3","NA"
"2012","DK",243,"2","2012","13",23248,-7278,0,0,,,,,,,,,0,0,0,0,0,,1611,,0,0,0,,30525,,"3","3","NA","1","1","2","1","1","1","1","1","1","3355.43","3","2","2","2","2","2","1","1","4","2","1","NA","NA","504.84","NA","1","1",,"1",1,,,,,,"2","100","1","1","1","1","1","3","4","4","3","4","4","3","3","NA"
"2012","DK",247,"2","2012","9",9823,7181,0,0,,,,,,,,,0,0,0,2024,0,,-290,,0,316,0,,2326,,"3","3","3","1","1","1","1","1","1","1","2","3","3355.43","2","NA","2","2","2","2","4","2","6","1","1","NA","NA","260.46","NA","1","1",,"1",1,,,,,,"2","55","1","1","1","2","1","3","4","3","4","2","4","2","3","NA"
"2012","DK",252,"1","2012","NA",25676,17327,0,0,,,,,,,,,0,0,0,0,0,,-1705,,0,1208,0,,7142,,"3","3","NA","1","1","1","1","1","1","1","1","4","3355.43","3","NA","2","2","2","2","1","1","3","1","1","NA","NA","968.92","NA","1","1",,"1",1,,,,,,"2","97","1","1","1","1","1","1","4","4","3","NA","4","3","3","NA"
