"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","DK",841,553.155080213904,"234.3176","1","2012","NA","1",1975,"2","2","1","DK","2","NA","5","2","NA","1","NA","NA","3","3","NA","3","NA","7","NA","1","2","2","NA","NA","NA","NA","2","3","NA","NA","NA","NA",1,1,23463,683,0,0,1,805,0,,364,0,0,27730,0,0,1,"7.4506",36,84,"3","2","2","NA"
"2012","DK",1061,553.155080213904,"2039.984","1","2012","NA","3",1932,"2","5","3","DK","2","NA","2","7","NA","NA","NA","NA","3","4","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","2","3","NA","NA","NA","NA",1,1,0,0,0,0,1,1329,0,,53469,0,0,0,0,0,1,"7.4506",79,106,"2","2","NA","NA"
"2012","DK",1411,553.155080213904,"891.8224","2","2012","NA","2",1980,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","0 - 1","37","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","1","NA","NA","NA","2","NA",1,1,39204,6350,6111,943,1,0,0,,0,0,0,0,0,0,1,"7.4506",31,141,"2","7","1","1"
"2012","DK",1641,553.155080213904,"NA","2","2012","NA","2",1949,"2","1","1","DK","2","NA","5","7","NA","NA","NA","1","3","5","NA","NA","NA","NA","11","NA","2","NA","NA","NA","NA","2","1","2","2","NA","2","6",1,1,0,0,0,587,1,1736,0,,195,27932,0,0,0,0,1,"7.4506",62,164,"2","2","2","7"
"2012","DK",1671,553.155080213904,"NA","1","2012","NA","3",1965,"2","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","5","37","1","i","NA","13","NA","2","NA","NA","NA","NA","1","NA","2","2","NA","2","NA",1,1,69304,0,0,435,1,1074,0,,298,0,0,0,0,0,1,"7.4506",46,167,"2","2","1","NA"
"2012","DK",1891,553.155080213904,"1013.614","1","2012","NA","4",1931,"2","4","3","DK","2","NA","2","7","NA","NA","NA","NA","3","4","45","NA","NA","NA","NA","1","2","2","NA","NA","NA","NA","1","3","1","NA","2","NA",1,1,0,0,0,55,1,0,0,,772,52363,0,0,0,0,1,"7.4506",80,189,"2","7","NA","NA"
"2012","DK",2111,553.155080213904,"NA","1","2012","NA","3",1964,"1","5","2","DK","2","NA","5","1","NA","1","NA","NA","3","0 - 1","37","5","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","NA","NA",1,1,48071,4670,4533,391,1,0,0,,0,0,0,0,0,0,1,"7.4506",47,211,"3","7","2","1"
"2012","DK",2431,553.155080213904,"NA","1","2012","NA","3",1979,"1","1","1","EU","2","NA","NA","3","NA","1","NA","NA","3","0 - 1","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","1","3","2","NA","2","NA",1,1,0,0,0,435,1,0,18186,,271,0,0,3180,0,0,1,"7.4506",32,243,"2","2","2","NA"
"2012","DK",2471,553.155080213904,"842.6013","2","2012","NA","4",1990,"1","1","3","DK","1","3","3","6","NA","2","NA","1","3","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","3","2","NA","NA","NA","2","NA",1,1,2859,0,0,330,1,0,0,,0,0,5229,0,0,0,1,"7.4506",21,247,"3","NA","2","NA"
"2012","DK",2521,553.155080213904,"3698.575","1","2012","NA","3",1944,"2","2","3","DK","2","NA","2","7","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","2","NA","NA","6","NA","NA",1,1,0,0,0,511,1,0,0,,241,27141,0,0,0,0,1,"7.4506",67,252,"2","7","2","NA"
"2012","DK",2551,553.155080213904,"3915.517","NA","2012","NA","2",1945,"2","5","2","DK","2","NA","2","7","NA","NA","1","NA","3","9","30","NA","NA","NA","NA","NA","2","2","NA","NA","NA","1","NA","3","NA","NA","NA","NA",1,1,1090,0,0,0,1,1611,0,,112,41623,0,0,0,0,1,"7.4506",66,255,"2","6","2","NA"
"2012","DK",2561,553.155080213904,"NA","1","2012","NA","4",1990,"1","1","3","DK","2","NA","3","2","NA","2","NA","NA","1","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","1","2","2","NA","NA","NA",1,1,19483,0,0,686,1,161,0,,464,0,0,0,0,3704,1,"7.4506",21,256,"3","2","1","NA"
"2012","DK",2881,553.155080213904,"906.5461","1","2012","NA","1",1931,"2","4","1","DK","2","NA","2","7","NA","1","2","NA","1","9","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","NA","2","NA","NA","2","NA",1,1,0,0,0,0,1,0,0,,379,36339,0,0,0,0,1,"7.4506",80,288,"2","6","1","NA"
"2012","DK",3011,553.155080213904,"NA","1","2012","NA","3",1931,"2","4","1","DK","1","5","2","7","NA","1","1","1","2","0 - 1","25","NA","NA","NA","NA","1","NA","2","NA","NA","NA","2","2","NA","2","NA","1","NA",1,1,0,0,0,24,1,0,0,,98,13305,0,0,0,0,1,"7.4506",80,301,"2","7","NA","3"
"2012","DK",3091,553.155080213904,"599.6884","1","2012","NA","1",1945,"1","2","1","DK","2","NA","2","7","NA","NA","NA","1","3","8","37","8","NA","NA","13","1","NA","2","NA","NA","NA","NA","1","NA","NA","NA","2","NA",1,1,0,0,0,677,1,4429,0,,210,49844,0,0,0,0,1,"7.4506",66,309,"3","7","NA","NA"
"2012","DK",3311,553.155080213904,"942.3782","2","2012","NA","3",1991,"2","1","2","DK","2","5","3","6","NA","2","2","NA","NA",,"NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","1","2","2","NA","1","NA",1,1,348,0,0,543,1,10066,0,,4,0,0,39,0,31,1,"7.4506",20,331,"3","2","1","1"
"2012","DK",3511,553.155080213904,"1126.736","1","2012","NA","4",1949,"2","2","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","37","NA","p","NA","12","1","NA","NA","NA","NA","NA","2","2","1","2","NA","2","NA",1,1,58582,0,0,0,1,0,0,,249,0,0,0,0,0,1,"7.4506",62,351,"3","2","2","7"
"2012","DK",3761,553.155080213904,"NA","2","2012","NA","4",1941,"2","2","3","EU","2","NA","3","7","NA","1","NA","NA","3","3","30","NA","NA","NA","NA","1","2","1","NA","NA","NA","1","2","NA","NA","NA","1","NA",1,1,0,0,0,644,1,1611,61,,294,27998,0,0,0,0,1,"7.4506",70,376,"3","3","2","1"
"2012","DK",4461,553.155080213904,"NA","1","2012","NA","3",1984,"2","1","1","DK","2","NA","5","6","NA","1","NA","NA","3",,"NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","NA","3","2","NA","NA","NA",1,1,22235,0,0,0,1,0,0,,0,0,0,0,0,0,1,"7.4506",27,446,"2","2","2","NA"
"2012","DK",4581,553.155080213904,"4946.795","1","2012","NA","4",1947,"1","2","2","DK","2","5","5","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","1","NA","2","NA",1,1,1955,0,0,0,1,0,0,,17289,0,0,0,0,0,1,"7.4506",64,458,"3","6","2","NA"
"2012","DK",4621,553.155080213904,"NA","1","2012","NA","2",1948,"1","2","1","DK","2","NA","2","8","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","1","NA","2","NA",1,1,0,0,0,582,1,0,0,,154,0,0,0,29260,0,1,"7.4506",63,462,"2","6","NA","NA"
"2012","DK",4861,553.155080213904,"537.7687","1","2012","NA","3",1944,"2","1","3","DK","2","NA","2","7","NA","NA","NA","NA","3","4","60","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","4","2","NA","NA","NA","2","NA",1,1,0,0,0,326,1,0,40732,,456,38122,0,0,0,0,1,"7.4506",67,486,"3","6","2","NA"
"2012","DK",5561,553.155080213904,"NA","1","2012","NA","3",1941,"2","5","3","DK","1","NA","2","7","NA","2","NA","NA","1","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","NA","NA","NA","NA",1,1,0,0,0,0,1,0,0,,135,16256,0,0,0,0,1,"7.4506",70,556,"3","6","2","NA"
"2012","DK",5761,553.155080213904,"875.7223","2","2012","NA","2",1975,"2","2","3","DK","2","NA","3","1","NA","1","NA","NA","3","5","37","NA","NA","NA","13","1","1","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA",1,1,59395,0,0,664,1,0,0,,309,0,0,6166,0,0,1,"7.4506",36,576,"3","6","1","NA"
"2012","DK",5911,553.155080213904,"NA","1","2012","NA","3",1977,"1","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","5","31","NA","r-u","NA","NA","NA","NA","2","NA","NA","NA","2","NA","2","2","6","2","NA",1,1,51871,0,0,0,1,1342,0,,285,0,0,0,0,0,1,"7.4506",34,591,"3","7","1","NA"
"2012","DK",5951,553.155080213904,"NA","1","2012","NA","4",1963,"2","5","1","DK","2","NA","2","5","NA","1","2","NA","NA","4","NA","NA","NA","NA","3","NA","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA",1,1,9840,0,0,0,1,0,0,,13067,0,0,395,0,0,1,"7.4506",48,595,"2","7","2","NA"
"2012","DK",6081,553.155080213904,"2641.494","1","2012","NA","2",1931,"2","4","3","DK","2","NA","2","7","NA","NA","2","NA","3","4","75","NA","NA","NA","2","1","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",1,1,0,0,0,760,1,6174,0,,26539,0,0,0,2091,0,1,"7.4506",80,608,"2","2","NA","NA"
"2012","DK",6261,553.155080213904,"NA","1","2012","NA","3",1938,"2","4","3","DK","2","NA","5","7","NA","NA","NA","NA","3","5","32","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","4","NA","2","NA","NA","2","NA",1,1,0,0,0,0,1,0,0,,331,33794,0,0,0,0,1,"7.4506",73,626,"2","2","NA","NA"
"2012","DK",6331,553.155080213904,"NA","1","2012","NA","4",1931,"2","4","3","DK","1","NA","2","7","NA","1","2","NA","3",,"10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",1,1,0,0,0,767,1,0,0,,115,13285,0,0,0,0,1,"7.4506",80,633,"3","6","1","NA"
"2012","DK",7111,553.155080213904,"1319.433","2","2012","NA","4",1976,"1","1","1","DK","2","NA","5","5","NA","1","NA","NA","4","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","2","3","2","NA","2","NA",1,1,55,0,0,494,1,0,0,,20741,0,0,0,7119,0,1,"7.4506",35,711,"2","2","1","NA"
"2012","DK",7291,553.155080213904,"NA","2","2012","NA","3",1938,"2","4","2","DK","1","NA","3","7","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","NA","NA",1,1,6074,0,0,733,1,0,0,,1947,0,0,0,4284,0,1,"7.4506",73,729,"3","2","2","6"
"2012","DK",7641,553.155080213904,"NA","1","2012","NA","3",1980,"1","2","3","DK","2","NA","3","1","NA","NA","NA","NA","3","7","45","NA","o","NA","13","1","1","NA","NA","NA","NA","2","2","3","NA","NA","2","NA",1,1,59185,0,0,664,1,0,0,,1228,0,0,0,0,0,1,"7.4506",31,764,"3","2","2","NA"
"2012","DK",8441,553.155080213904,"535.1722","1","2012","NA","4",1960,"1","1","1","DK","2","NA","5","2","NA","NA","NA","1","4","2","60","4","p","NA","13","1","NA","2","NA","NA","NA","1","2","NA","2","NA","2","NA",1,1,80822,0,0,0,1,853,20,,407,0,0,0,0,0,1,"7.4506",51,844,"2","2","NA","NA"
"2012","DK",8791,553.155080213904,"NA","2","2012","NA","1",1988,"2","1","1","DK","1","3","2","6","NA","1","NA","2","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","3","2","NA","2","NA",1,1,24893,0,0,527,1,1142,0,,879,0,0,0,0,0,1,"7.4506",23,879,"2","2","1","3"
"2012","DK",8811,553.155080213904,"NA","2","2012","NA","3",1974,"2","2","1","DK","2","NA","3","2","NA","NA","NA","NA","3","4","NA","NA","NA","NA","13","1","1","NA","NA","NA","NA","2","NA","NA","NA","NA","2","NA",1,1,42982,226,0,622,1,0,-1,,0,0,0,2739,0,0,1,"7.4506",37,881,"3","2","2","NA"
"2012","DK",8831,553.155080213904,"1224.537","NA","2012","NA","2",1977,"1","1","2","DK","2","NA","5","6","NA","1","NA","NA","3","3","37","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","NA","3","NA","NA","2","NA",1,1,15988,0,0,477,1,0,2,,909,0,0,225,0,0,1,"7.4506",34,883,"2","7","2","NA"
