"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","DK",83,"NA","2013","NA",31118,2247,0,0,,,,,,,,0,0,0,0,0,,-5683,,0,774,0,,28097,,"3","3","3","1","1","1","1","1","1","1","1","5","3358.54","3","3","2","1","2","2","1","1","6","2","1","NA","NA","2234.57","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",105,"1","2013","NA",14867,10107,0,0,,,,,,,,0,0,0,7922,0,,-3,,0,424,0,,4336,,"3","3","3","1","1","1","1","1","1","1","1","6","6717.09","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","705.42","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",139,"1","2013","NA",-4388,-6732,0,0,,,,,,,,0,0,0,3901,0,,-8324,,0,0,0,,2344,,"3","3","3","1","1","1","1","1","1","1","1","4","4298.94","3","NA","2","2","2","2","3","2","6","2","1","NA","NA","2343.81","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",162,"1","2013","NA",46743,26721,0,0,,,,,,,,0,0,0,0,0,,17921,,0,1459,0,,18563,,"3","3","3","1","1","1","1","1","1","1","1","4","2686.84","3","3","2","2","2","2","1","2","6","2","1","NA","NA","978.67","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",165,"1","2013","NA",7955,-11488,0,0,,,,,,,,0,0,0,0,0,,-2890,,0,0,0,,19443,,"3","3","3","1","1","1","1","1","1","1","3","6","2015.13","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","1526.28","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",186,"1","2013","NA",22207,17738,0,0,,,,,,,,0,0,0,0,0,,-1261,,0,0,0,,4469,,"3","3","NA","1","1","1","1","1","1","1","1","5","1343.42","3","NA","2","2","2","2","4","1","6","2","1","NA","NA","997.27","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",208,"1","2013","16",7283,6386,0,0,,,,,,,,0,0,0,0,0,,95,,0,0,0,,897,,"1","3","NA","1","1","1","1","1","1","1","1","5","2216.64","3","NA","2","2","2","2","NA","3","3","2","1","NA","NA","692.31","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",240,"2","2013","NA",38805,16791,0,0,,,,,,,,0,0,0,0,0,,-3,,0,0,0,,22014,,"3","3","3","1","1","1","1","1","1","1","1","5","4298.94","2","NA","2","2","2","2","1","3","2","2","1","NA","NA","1765.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",244,"1","2013","15",60250,50601,0,0,,,,,,,,0,0,0,0,0,,397,,0,0,0,,9649,,"3","3","NA","1","1","1","1","1","1","1","1","5","2015.13","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","1822.15","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",249,"1","2013","NA",98364,64360,0,0,,,,,,,,0,0,0,0,0,,-1765,,0,1023,0,,32981,,"3","3","3","1","1","1","1","1","1","1","1","5","1343.42","2","NA","2","2","2","2","1","2","6","2","1","NA","NA","717.68","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",252,"1","2013","NA",53108,24122,0,0,,,,,,,,0,0,0,0,0,,574,,0,2971,0,,26016,,"3","3","3","1","1","1","1","1","1","1","1","4","6717.09","3","NA","2","2","2","2","3","2","6","2","1","NA","NA","1765.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",253,"1","2013","17",48596,31704,0,0,,,,,,,,0,0,0,0,0,,185,,0,2459,0,,14433,,"3","3","3","1","1","1","1","1","1","1","1","4","4030.25","3","NA","2","2","2","2","1","1","3","2","1","1209.08","NA","1063.02","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",284,"1","2013","NA",30034,17425,0,0,,,,,,,,0,0,0,0,0,,31,,0,0,0,,12609,,"NA","3","3","1","1","1","1","1","1","1","1","6","3358.54","3","NA","2","2","1","2","4","3","6","1","1","NA","NA","1063.02","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",297,"1","2013","11",44359,30567,0,0,,,,,,,,0,0,0,0,0,,-1287,,0,0,0,,13792,,"3","3","NA","1","1","1","1","1","1","1","3","6","2015.13","3","NA","2","2","2","2","1","3","4","2","1","NA","NA","1480.8","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
