"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PX010","PX020","PX030","PX040","PX050","PX200"
"2013","DK",831,544.437041972019,"1430.873","NA","2013","NA","4",1966,"1","1","2","DK","2","NA","2","1","NA","1","2","NA","3","7","25","NA","NA","NA","NA","1","2","2","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,36648,0,0,435,1,0,0,,154,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","8","10","5","5","9","NA","NA","NA","NA","10","5","8","10","NA","NA","1","NA","NA","10","2","7.4437",46,83,"3","2","937.68138439"
"2013","DK",1051,544.437041972019,"457.5613","1","2013","NA","3",1989,"2","1","3","DK","2","5","2","6","NA","1","NA","NA","NA",,"NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","2","3","NA","NA","NA","NA",1,1,0,0,0,383,1,0,0,,504,0,0,0,0,6443,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","4","2","NA","NA","NA","6","8","NA","NA","NA","1","NA","2","NA","NA","7.4437",23,105,"3","2","928.69554443"
"2013","DK",1391,544.437041972019,"NA","1","2013","NA","1",1960,"2","5","1","DK","1","NA","3","4","NA","2","1","NA","NA","3","NA","NA","k","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",1,1,35,0,0,62,1,0,0,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","NA","NA","5","3","2","NA","2","NA","NA","9","NA","7","NA","8","NA","NA","NA","NA","8","NA","7.4437",52,139,"2","3","NA"
"2013","DK",1621,544.437041972019,"817.8889","1","2013","NA","1",1941,"1","5","1","DK","2","3","2","7","NA","1","NA","NA","NA","7","37","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",1,1,98,0,0,694,1,0,6010,,0,22714,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","2","NA","5","8","4","5","1","NA","4","7","10","8","0","10","NA","NA","1","1","6","10","NA","1","7.4437",71,162,"3","2","1607.9335733"
"2013","DK",1651,544.437041972019,"NA","1","2013","NA","2",1944,"1","1","3","DK","1","NA","3","7","NA","1","2","NA","3","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","2","NA",1,1,822,0,0,326,1,0,0,,96,9927,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","1","NA","8","NA","8","NA","7.4437",68,165,"2","2","507.77375484"
"2013","DK",1861,544.437041972019,"779.6831","1","2013","NA","2",1983,"1","1","1","DK","2","NA","5","5","NA","1","NA","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","2","NA",1,1,16176,0,0,0,1,0,0,,7292,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","9","8","10","NA","2","NA","5","NA","NA","NA","NA","NA","99","NA","NA","1","1","NA","NA","NA","2","7.4437",29,186,"2","6","560.26024009"
"2013","DK",2081,544.437041972019,"NA","1","2013","NA","2",1988,"2","1","1","Other","1","3","NA","1","NA","2","2","NA","3","3","37","NA","g","NA","NA","1","NA","NA","NA","NA","NA","1","2","NA","2","NA","NA","NA",1,1,0,0,0,145,1,0,0,,46,0,0,7142,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","1","NA","NA","NA","NA","NA","6","NA","NA","6","NA","1","7","NA","NA","NA","7.4437",24,208,"2","2","NA"
"2013","DK",2401,544.437041972019,"1398.423","1","2013","NA","1",1958,"1","2","2","DK","2","NA","6","1","NA","NA","NA","NA","3","2","37","NA","NA","NA","NA","1","2","2","NA","NA","NA","NA","NA","3","2","NA","2","NA",1,1,38808,0,0,0,1,322,0,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","8","9","NA","3","4","2","4","2","2","NA","NA","NA","8","NA","NA","NA","NA","8","NA","NA","1","7.4437",54,240,"2","6","874.4772304"
"2013","DK",2441,544.437041972019,"3243.049","NA","2013","NA","2",1950,"2","5","3","DK","2","NA","5","1","NA","NA","NA","NA","3","2","42","NA","NA","NA","13","1","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA",1,1,59613,0,0,0,1,0,11,,228,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","10","8","5","5","3","NA","2","NA","7","NA","8","9","9","5","NA","NA","8","10","NA","1","7.4437",62,244,"2","2","NA"
"2013","DK",2491,544.437041972019,"986.4285","1","2013","NA","2",1966,"1","2","3","DK","2","NA","3","1","NA","NA","NA","NA","3","2","45","NA","NA","NA","10","NA","1","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA",1,1,99272,736,0,0,1,0,474,,383,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","1","4","NA","NA","9","NA","6","9","5","NA","NA","1","9","9","9","NA","7.4437",46,249,"3","7","NA"
