"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","DK",831,544.437041972019,"3",1966,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",46,46,83,"1","0","0","0"
"2013","DK",1051,544.437041972019,"2",1989,"2","1","2","3","13","4","NA","NA","NA","NA","NA","NA",23,23,105,"99","0","1","0"
"2013","DK",1391,544.437041972019,"1",1960,"2","1","4","2","13","5","38","NA","NA","NA","NA","NA",52,52,139,"1","0","0","100"
"2013","DK",1621,544.437041972019,"2",1941,"1","1","4","3","13","4","NA","NA","NA","NA","NA","NA",72,71,162,"99","0","0","0"
"2013","DK",1651,544.437041972019,"3",1944,"1","1","4","3","13","5","NA","NA","NA","NA","0","NA",68,68,165,"1","0","0","0"
"2013","DK",1861,544.437041972019,"3",1983,"1","1","4","3","13","4","NA","NA","NA","NA","NA","NA",30,29,186,"99","0","0","0"
"2013","DK",2081,544.437041972019,"1",1988,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",24,24,208,"1","0","0","0"
"2013","DK",2401,544.437041972019,"3",1958,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",54,54,240,"99","0","0","100"
"2013","DK",2441,544.437041972019,"4",1950,"2","1","4","3","13","4","NA","NA","NA","38","0","NA",63,62,244,"1","0","0","100"
"2013","DK",2491,544.437041972019,"1",1966,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",47,46,249,"0.5","0","0","0"
"2013","DK",2521,544.437041972019,"1",1955,"1","1","3","3","NA","5","NA","NA","NA","NA","NA","NA",58,57,252,"99","2","0","0"
"2013","DK",2531,544.437041972019,"3",1953,"1","1","4","3","13","4","NA","NA","NA","NA","NA","NA",59,59,253,"0.5","0","0","0"
"2013","DK",2841,544.437041972019,"3",1938,"2","1","1","2","13","5","NA","NA","NA","NA","0","NA",75,74,284,"99","2","0","0"
"2013","DK",2971,544.437041972019,"3",1952,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",60,60,297,"99","0","0","0"
"2013","DK",3051,544.437041972019,"2",1957,"1","1","1","2","13","NA","NA","NA","12","NA","NA","NA",55,55,305,"1","0","0","0"
"2013","DK",3271,544.437041972019,"1",1983,"2","1","1","3","13","5","NA","NA","NA","0","NA","NA",29,29,327,"1","0","0","0"
"2013","DK",3471,544.437041972019,"3",1976,"1","1","1","2","13","5","NA","27","NA","NA","NA","NA",37,36,347,"0.5","1","0","0"
"2013","DK",3711,544.437041972019,"4",1938,"2","1","4","3","13","5","NA","NA","NA","NA","0","NA",75,74,371,"0.9583333333","2","0","0"
"2013","DK",4401,544.437041972019,"1",1984,"1","1","1","2","NA","NA","NA","NA","0","NA","0","NA",28,28,440,"0.8333333333","2","0","0"
"2013","DK",4521,544.437041972019,"4",1982,"1","1","1","2","NA","NA","NA","25","NA","NA","NA","NA",30,30,452,"99","2","0","0"
"2013","DK",4561,544.437041972019,"1",1944,"1","1","4","4","13","5","NA","NA","NA","NA","0","NA",68,68,456,"99","0","1","0"
"2013","DK",4801,544.437041972019,"3",1954,"1","1","1","4","NA","4","NA","NA","NA","NA","NA","NA",59,58,480,"1","0","0","0"
"2013","DK",5491,544.437041972019,"3",1934,"2","1","3","4","13","3","NA","NA","NA","NA","NA","NA",78,78,549,"0.7222222222","0","0","0"
"2013","DK",5681,544.437041972019,"1",1938,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",74,74,568,"0","0","0","0"
"2013","DK",5841,544.437041972019,"1",1951,"2","1","1","2","13","3","NA","NA","NA","0","NA","NA",61,61,584,"1","0","0","0"
"2013","DK",5881,544.437041972019,"4",1953,"1","1","1","3","NA","3","NA","40","NA","NA","NA","NA",59,59,588,"1","2","0","0"
"2013","DK",6001,544.437041972019,"2",1946,"2","1","3","3","13","4","NA","27","NA","NA","NA","NA",66,66,600,"99","0","0","0"
"2013","DK",6181,544.437041972019,"1",1972,"1","1","4","2","13","5","NA","NA","NA","NA","NA","0",41,40,618,"0","2","0","0"
"2013","DK",6251,544.437041972019,"4",1977,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",35,35,625,"0.7023809524","2","0","0"
"2013","DK",7021,544.437041972019,"2",1932,"2","1","4","2","13","4","NA","NA","NA","NA","NA","NA",80,80,702,"1","0","0","100"
"2013","DK",7201,544.437041972019,"4",1949,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",63,63,720,"1","0","0","0"
"2013","DK",7541,544.437041972019,"1",1965,"1","1","4","2","13","3","NA","NA","NA","0","NA","NA",48,47,754,"1","0","0","0"
"2013","DK",8331,544.437041972019,"2",1974,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",38,38,833,"0.5","0","0","0"
"2013","DK",8681,544.437041972019,"4",1966,"2","1","3","3","NA","3","NA","NA","NA","NA","NA","NA",46,46,868,"1","0","0","0"
"2013","DK",8701,544.437041972019,"2",1932,"2","1","3","3","13","3","NA","NA","NA","NA","NA","NA",80,80,870,"0.9285714286","0","0","0"
"2013","DK",8721,544.437041972019,"3",1990,"2","1","4","2","13","NA","NA","NA","NA","NA","NA","0",22,22,872,"0.5714285714","0","0","100"
"2013","DK",8751,544.437041972019,"3",1938,"2","1","4","4","13","5","NA","NA","NA","40","0","NA",74,74,875,"0.8960841546","0","0","0"
"2013","DK",8801,544.437041972019,"3",1989,"1","1","1","2","13","5","NA","NA","NA","NA","NA","0",23,23,880,"0.8993473591","2","0","0"
"2013","DK",9351,544.437041972019,"1",1945,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",67,67,935,"1","0","0","0"
"2013","DK",9451,544.437041972019,"1",1975,"1","1","1","3","NA","4","NA","NA","NA","NA","NA","NA",37,37,945,"1","2","0","1"
"2013","DK",9731,544.437041972019,"1",1978,"2","1","4","4","13","5","NA","NA","NA","0","NA","0",34,34,973,"0","0","0","0"
"2013","DK",10151,544.437041972019,"2",1979,"1","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",33,33,1015,"0.9142857143","2","0","0"
"2013","DK",10561,544.437041972019,"3",1977,"1","1","4","4","13","4","NA","NA","NA","NA","NA","NA",35,35,1056,"99","0","0","0"
"2013","DK",10951,544.437041972019,"4",1945,"1","1","3","2","13","4","NA","NA","NA","NA","NA","0",67,67,1095,"1","0","0","0"
"2013","DK",11261,544.437041972019,"1",1941,"1","1","4","2","13","4","NA","NA","NA","NA","NA","NA",71,71,1126,"99","1","0","0"
"2013","DK",11681,544.437041972019,"3",1950,"1","1","3","2","13","NA","NA","NA","6","NA","NA","NA",62,62,1168,"1","0","0","0"
"2013","DK",12091,544.437041972019,"1",1963,"1","1","1","4","13","NA","NA","NA","NA","0","NA","NA",49,49,1209,"99","2","0","0"
