DB020,DB030,HS060,ANREC
AT,6,2,2006
AT,10,2,2006
AT,31,1,2006
AT,55,1,2006
AT,60,1,2006
AT,82,1,2006
AT,108,2,2006
AT,134,1,2006
AT,141,2,2006
AT,156,1,2006
AT,165,1,2006
AT,167,1,2006
AT,189,2,2006
AT,191,1,2006
AT,200,1,2006
AT,211,2,2006
AT,227,2,2006
AT,259,1,2006
AT,268,2,2006
AT,269,2,2006
AT,276,2,2006
AT,293,1,2006
AT,301,1,2006
AT,311,2,2006
AT,336,1,2006
AT,337,1,2006
AT,373,1,2006
AT,381,1,2006
AT,383,1,2006
AT,392,1,2006
AT,414,1,2006
AT,428,1,2006
AT,436,1,2006
AT,451,1,2006
AT,452,1,2006
AT,461,1,2006
AT,476,1,2006
AT,480,2,2006
AT,491,1,2006
AT,513,2,2006
AT,539,2,2006
AT,540,1,2006
AT,551,1,2006
AT,556,1,2006
AT,562,1,2006
AT,564,1,2006
AT,568,1,2006
AT,583,1,2006
AT,596,1,2006
AT,600,1,2006
AT,609,1,2006
AT,613,1,2006
AT,620,1,2006
AT,625,1,2006
AT,649,1,2006
AT,679,1,2006
AT,681,1,2006
AT,682,1,2006
AT,704,1,2006
AT,712,1,2006
AT,714,1,2006
AT,721,1,2006
AT,730,1,2006
AT,744,1,2006
AT,747,1,2006
AT,754,1,2006
AT,755,1,2006
AT,757,1,2006
AT,758,1,2006
AT,773,1,2006
AT,785,1,2006
AT,813,1,2006
AT,818,1,2006
AT,820,1,2006
AT,829,2,2006
AT,831,1,2006
AT,839,2,2006
AT,855,1,2006
AT,856,1,2006
AT,859,1,2006
AT,861,1,2006
AT,871,1,2006
AT,916,1,2006
AT,918,1,2006
AT,922,1,2006
AT,925,2,2006
AT,928,1,2006
AT,929,1,2006
AT,931,1,2006
AT,935,1,2006
AT,948,1,2006
AT,957,1,2006
AT,959,1,2006
AT,967,2,2006
AT,968,1,2006
AT,977,1,2006
AT,981,1,2006
AT,986,1,2006
AT,991,1,2006
AT,1024,1,2006
AT,1027,1,2006
AT,1032,2,2006
AT,1040,1,2006
AT,1064,2,2006
AT,1088,1,2006
AT,1089,1,2006
AT,1127,1,2006
AT,1131,2,2006
AT,1144,1,2006
AT,1151,1,2006
AT,1152,1,2006
AT,1161,1,2006
AT,1179,1,2006
AT,1188,1,2006
AT,1212,2,2006
AT,1232,1,2006
AT,1241,1,2006
AT,1287,1,2006
AT,1307,1,2006
AT,1312,1,2006
AT,1318,1,2006
AT,1326,1,2006
AT,1333,1,2006
AT,1334,1,2006
AT,1353,1,2006
AT,1360,1,2006
AT,1364,1,2006
AT,1367,1,2006
AT,1371,1,2006
AT,1375,2,2006
AT,1392,1,2006
AT,1411,2,2006
AT,1412,1,2006
AT,1420,1,2006
AT,1459,1,2006
AT,1477,1,2006
AT,1482,1,2006
AT,1487,1,2006
AT,1491,1,2006
AT,1496,1,2006
AT,1501,1,2006
AT,1503,1,2006
AT,1504,1,2006
AT,1510,2,2006
AT,1516,1,2006
AT,1520,1,2006
AT,1521,1,2006
AT,1538,1,2006
AT,1555,1,2006
AT,1568,1,2006
AT,1579,1,2006
AT,1581,1,2006
AT,1585,1,2006
AT,1586,1,2006
AT,1592,1,2006
AT,1599,2,2006
AT,1612,1,2006
AT,1624,1,2006
AT,1627,2,2006
AT,1637,1,2006
AT,1648,1,2006
AT,1649,1,2006
AT,1678,2,2006
AT,1679,1,2006
AT,1715,1,2006
AT,1731,1,2006
AT,1734,2,2006
AT,1748,1,2006
AT,1752,1,2006
AT,1755,1,2006
AT,1758,1,2006
AT,1770,1,2006
AT,1793,1,2006
AT,1805,1,2006
AT,1819,1,2006
AT,1826,1,2006
AT,1831,1,2006
AT,1842,1,2006
AT,1858,1,2006
AT,1864,1,2006
AT,1879,1,2006
AT,1885,1,2006
AT,1902,1,2006
AT,1907,2,2006
AT,1922,1,2006
AT,1924,1,2006
AT,1931,2,2006
AT,1941,1,2006
AT,1964,1,2006
AT,1970,1,2006
AT,1972,1,2006
AT,1973,1,2006
AT,1975,1,2006
AT,1977,1,2006
AT,1980,1,2006
AT,1988,1,2006
AT,1993,2,2006
AT,1996,2,2006
AT,2003,1,2006
AT,2005,1,2006
AT,2008,1,2006
AT,2012,1,2006
AT,2013,1,2006
AT,2032,1,2006
AT,2045,1,2006
AT,2046,1,2006
AT,2047,1,2006
AT,2054,2,2006
AT,2057,1,2006
AT,2074,1,2006
AT,2083,1,2006
AT,2086,1,2006
AT,2093,1,2006
AT,2097,1,2006
AT,2098,1,2006
AT,2099,1,2006
AT,2119,1,2006
AT,2120,1,2006
AT,2137,1,2006
AT,2143,1,2006
AT,2145,2,2006
AT,2156,1,2006
AT,2163,1,2006
AT,2173,1,2006
AT,2178,2,2006
AT,2187,1,2006
AT,2218,1,2006
AT,2236,1,2006
AT,2244,1,2006
AT,2258,1,2006
AT,2267,1,2006
AT,2272,1,2006
AT,2282,1,2006
AT,2286,1,2006
AT,2288,1,2006
AT,2294,1,2006
AT,2300,2,2006
AT,2304,1,2006
AT,2328,2,2006
AT,2330,1,2006
AT,2333,1,2006
AT,2366,1,2006
AT,2372,2,2006
AT,2380,2,2006
AT,2383,1,2006
AT,2408,2,2006
AT,2424,2,2006
AT,2447,1,2006
AT,2455,1,2006
AT,2457,2,2006
AT,2458,1,2006
AT,2460,1,2006
AT,2465,2,2006
AT,2486,2,2006
AT,2488,1,2006
AT,2489,1,2006
AT,2497,2,2006
AT,2561,1,2006
AT,2563,1,2006
AT,2575,1,2006
AT,2592,1,2006
AT,2604,1,2006
AT,2613,1,2006
AT,2614,1,2006
AT,2620,1,2006
AT,2632,2,2006
AT,2642,1,2006
AT,2648,2,2006
AT,2649,2,2006
AT,2674,1,2006
AT,2684,1,2006
AT,2685,2,2006
AT,2694,1,2006
AT,2710,1,2006
AT,2713,1,2006
AT,2726,1,2006
AT,2735,2,2006
AT,2737,1,2006
AT,2809,1,2006
AT,2819,1,2006
AT,2824,1,2006
AT,2826,1,2006
AT,2829,1,2006
AT,2845,2,2006
AT,2875,1,2006
AT,2899,1,2006
AT,2908,1,2006
AT,2912,2,2006
AT,2915,1,2006
AT,2918,1,2006
AT,2940,2,2006
AT,2959,2,2006
AT,2969,1,2006
AT,2990,1,2006
AT,2995,2,2006
AT,3000,1,2006
AT,3009,1,2006
AT,3053,1,2006
AT,3061,1,2006
AT,3087,1,2006
AT,3107,1,2006
AT,3133,2,2006
AT,3141,1,2006
AT,3187,1,2006
AT,3190,2,2006
AT,3194,1,2006
AT,3221,1,2006
AT,3225,1,2006
AT,3231,1,2006
AT,3243,1,2006
AT,3263,1,2006
AT,3267,1,2006
AT,3279,2,2006
AT,3293,1,2006
AT,3300,1,2006
AT,3304,1,2006
AT,3309,1,2006
AT,3312,1,2006
AT,3315,1,2006
AT,3322,1,2006
AT,3331,2,2006
AT,3339,1,2006
AT,3370,1,2006
AT,3373,1,2006
AT,3389,1,2006
AT,3390,1,2006
AT,3396,1,2006
AT,3425,1,2006
AT,3432,2,2006
AT,3442,1,2006
AT,3449,1,2006
AT,3487,1,2006
AT,3497,1,2006
AT,3501,1,2006
AT,3515,1,2006
AT,3529,1,2006
AT,3531,1,2006
AT,3538,2,2006
AT,3568,1,2006
AT,3579,1,2006
AT,3598,1,2006
AT,3640,1,2006
AT,3683,1,2006
AT,3689,1,2006
AT,3690,1,2006
AT,3695,1,2006
AT,3714,1,2006
AT,3716,1,2006
AT,3718,2,2006
AT,3722,1,2006
AT,3724,1,2006
AT,3733,1,2006
AT,3745,1,2006
AT,3747,1,2006
AT,3776,1,2006
AT,3782,1,2006
AT,3789,2,2006
AT,3796,1,2006
AT,3797,1,2006
AT,3818,1,2006
AT,3820,1,2006
AT,3851,1,2006
AT,3860,1,2006
AT,3874,1,2006
AT,3909,1,2006
AT,3925,1,2006
AT,3933,1,2006
AT,3934,1,2006
AT,3946,1,2006
AT,3957,1,2006
AT,3966,1,2006
AT,3967,1,2006
AT,3975,1,2006
AT,3992,1,2006
AT,4009,1,2006
AT,4015,1,2006
AT,4029,1,2006
AT,4033,1,2006
AT,4040,2,2006
AT,4041,1,2006
AT,4045,1,2006
AT,4048,2,2006
AT,4049,2,2006
AT,4051,2,2006
AT,4052,1,2006
AT,4054,1,2006
AT,4065,1,2006
AT,4099,1,2006
AT,4102,2,2006
AT,4120,1,2006
AT,4121,1,2006
AT,4157,1,2006
AT,4159,1,2006
AT,4235,1,2006
AT,4238,1,2006
AT,4248,1,2006
AT,4251,1,2006
AT,4261,1,2006
AT,4268,1,2006
AT,4269,1,2006
AT,4282,1,2006
AT,4287,1,2006
AT,4288,1,2006
AT,4298,1,2006
AT,4314,1,2006
AT,4326,1,2006
AT,4331,1,2006
AT,4341,1,2006
AT,4348,2,2006
AT,4349,1,2006
AT,4354,1,2006
AT,4390,2,2006
AT,4395,1,2006
AT,4400,2,2006
