DB020,DB030,HS060,ANREC
DK,7,1,2006
DK,27,1,2006
DK,56,1,2006
DK,59,1,2006
DK,89,2,2006
DK,106,1,2006
DK,119,2,2006
DK,197,1,2006
DK,230,1,2006
DK,244,1,2006
DK,263,1,2006
DK,271,1,2006
DK,296,1,2006
DK,301,1,2006
DK,306,1,2006
DK,307,1,2006
DK,314,1,2006
DK,341,1,2006
DK,372,1,2006
DK,385,1,2006
DK,386,1,2006
DK,411,1,2006
DK,456,2,2006
DK,465,1,2006
DK,519,1,2006
DK,526,1,2006
DK,533,1,2006
DK,539,1,2006
DK,542,1,2006
DK,560,1,2006
DK,577,1,2006
DK,591,1,2006
DK,606,1,2006
DK,617,1,2006
DK,653,1,2006
DK,682,1,2006
DK,693,1,2006
DK,713,1,2006
DK,758,1,2006
DK,766,1,2006
DK,772,1,2006
DK,776,1,2006
DK,802,1,2006
DK,805,1,2006
DK,808,1,2006
DK,809,1,2006
DK,814,2,2006
DK,816,1,2006
DK,824,1,2006
DK,830,2,2006
DK,841,1,2006
DK,879,1,2006
DK,933,1,2006
DK,972,1,2006
DK,976,1,2006
DK,985,2,2006
DK,1000,1,2006
DK,1014,2,2006
DK,1076,1,2006
DK,1084,1,2006
DK,1090,2,2006
DK,1095,1,2006
DK,1114,2,2006
DK,1143,1,2006
DK,1151,2,2006
DK,1205,1,2006
DK,1211,1,2006
DK,1220,1,2006
DK,1232,1,2006
DK,1277,1,2006
DK,1291,1,2006
DK,1328,1,2006
DK,1333,1,2006
DK,1370,1,2006
DK,1397,1,2006
DK,1402,2,2006
DK,1419,2,2006
DK,1454,1,2006
DK,1490,1,2006
DK,1493,2,2006
DK,1512,1,2006
DK,1538,1,2006
DK,1548,1,2006
DK,1551,2,2006
DK,1553,1,2006
DK,1559,1,2006
DK,1591,1,2006
DK,1600,1,2006
DK,1603,1,2006
DK,1627,2,2006
DK,1635,1,2006
DK,1677,1,2006
DK,1687,1,2006
DK,1716,1,2006
DK,1761,1,2006
DK,1764,1,2006
DK,1799,1,2006
DK,1835,1,2006
DK,1898,1,2006
DK,1903,2,2006
DK,1908,1,2006
DK,1927,1,2006
DK,1937,1,2006
DK,1952,1,2006
DK,1954,1,2006
DK,1957,2,2006
DK,1961,1,2006
DK,1975,2,2006
DK,2023,2,2006
DK,2041,1,2006
DK,2050,2,2006
DK,2055,1,2006
DK,2080,1,2006
DK,2167,1,2006
DK,2199,1,2006
DK,2201,1,2006
DK,2208,1,2006
DK,2283,1,2006
DK,2289,1,2006
DK,2311,1,2006
DK,2312,1,2006
DK,2321,1,2006
DK,2371,1,2006
DK,2389,1,2006
DK,2401,1,2006
DK,2417,2,2006
DK,2467,1,2006
DK,2495,1,2006
DK,2513,2,2006
DK,2540,1,2006
DK,2543,2,2006
DK,2652,1,2006
DK,2653,1,2006
DK,2658,1,2006
DK,2724,1,2006
DK,2732,1,2006
DK,2734,2,2006
DK,2761,1,2006
DK,2856,2,2006
DK,2859,1,2006
DK,2864,1,2006
DK,2867,1,2006
DK,2875,1,2006
